x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label
lanoxin,lænəksɪn,lanoksin,lumason,luːmeɪsən,lumason,0
bamlanivimab,bæmlɐnɪvɪmæb,bamlanivimab,belimumab,bɪlɪmjuːmæb,belimumab,1
hydrocodone,haɪdɹəkɑːdoʊn,hjdɾokodone,oxycodone,ɑːksɪkɑːdoʊn,ʔoksikeodone,1
oxcarbazepine,ɑːkskɑːɹbeɪzpaɪn,ʔokskaɾbasepine,dacarbazine,dækɑːɹbæziːn,dakaɾbasʔineʔ,0
cefotetan,sɛfoʊttən,kefotetan,cefoxitin,sɛfəksɪtɪn,kefoksitin,1
avandia,ævændiə,ʔavandia,javadin,dʒɑːvɐdɪn,ʤavadin,0
procardia xl,pɹəkɑːɹdiə ɛksɛl,pɾokaɾdiaksl,protain xl,pɹoʊteɪn ɛksɛl,pɾotaʔinksl,1
floranex,floːɹeɪnɛks,floɾaneks,florinef,flɔːɹaɪnəf,floɾinef,1
cabenuva,keɪbnuːvə,kabenuva,cabotegravir,kæboʊtgɹævɪɹ,kabotegɾavjɾ,1
yasmin,jæzmɪn,jasmin,yaz,jæz,jas,1
achromycin,ækɹoʊmaɪsɪn,ʔaʧɾomjsjn,vancomycin,væŋkəmaɪsɪn,vankomjsjn,0
tanzeum,tænziːəm,tansjum,tradjenta,tɹædʒɛntə,tɾadʤenta,1
nitro bid,naɪtɹoʊ bɪd,nitɾobid,nutropin aq,nʌtɹəpɪn æk,nutɾopinʔak,0
quetiapine,kwɛʃɪæpaɪn,ketiʔapine,questran,kwɛstɹæn,kestɾan,0
sulfadiazine,sʌlfeɪdɪɐziːn,sulfadiasʔineʔ,sulfatrim,sʌlfætɹɪm,sulfatɾim,0
daunorubicin,dɔːnoːɹuːbɪsɪn,daʔunoɾubjsjn,daunorubicin liposomal,dɔːnoːɹuːbɪsɪn lɪpəsɑːməl,daʔunoɾubjsjnliposomal,1
guaifenesin,gwɑːaɪfnɛsɪn,guʔajfenesin,guanfacine,gwɑːnfɐsiːn,guʔanfasjne,1
aminosyn 35,ɐmɪnəsɪn θɜːɾi faɪv,ʔaminosjn35,aminosyn ii 7,ɐmɪnəsɪn ɹoʊmən tuː sɛvən,ʔaminosjnʔiiʔ7,0
maxzide,mækszaɪd,makszide,zymaxid,zaɪmɐksɪd,zjmaʔksid,0
tramadol,tɹæmɐdɑːl,tɾamadol,metromidol,mɛtɹəmɪdɑːl,metɾomidol,0
avandamet,ævɐndæmɪt,ʔavandamet,quadramet,kwɑːdɹæmɪt,kadɾamet,0
neurontin,nʊɹɹɔntɪn,neuɾontin,noroxin,noːɹəksɪn,noɾoksin,1
acetaminophen and codeine phosphate,æsɪtæmɪnɑːfən ænd koʊdaɪn fɑːsfeɪt,ʔaketaminophenʔandkodejnephosphate,acetaminophen and pentazocine hydrochloride,æsɪtæmɪnɑːfən ænd pɛntɐzɑːsiːn haɪdɹəkloːɹaɪd,ʔaketaminophenʔandpentasokʔineʔhjdɾoʧloɾide,0
neratinib,nɛɹɐtɪnɪb,neɾatinib,erdafitinib,ɜːdɐfɪtɪnɪb,ʔeɾdafitinib,0
tri legest 21,tɹaɪ liːdʒɪst twɛnti wʌn,tɾilegest21,tri legest fe,tɹaɪ liːdʒɪst fiː,tɾilegestfe,0
spiriva,spɪɹɪvə,spiɾiva,spinraza,spɪnɹɑːzə,spinɾasa,0
hydromorphone,haɪdɹəmoːɹfoʊn,hjdɾomoɾphone,oxymorphone,ɑːksɪmoːɹfoʊn,ʔoksjmoɾphone,1
aldara,ɔːldɑːɹɹə,ʔaldaɾaʔ,azedra,eɪzdɹə,ʔazedɾa,0
methadone,mɛθɐdoʊn,methadone,metandren,mɛtəndɹɛn,metandɾen,0
hydro reserp,haɪdɹoʊ ɹɪsɜːp,hjdɾoɾeseɾp,hydropres 50,haɪdɹɑːpɚz fɪfti,hjdɾopɾes50,0
lamotrigine,læmətɹɪdʒɪn,lamotɾigine,levetiracetam,lɛvɪtɜːɹɐsɛɾæm,levetiɾaketam,1
oxytrol for women,ɑːksɪtɹɑːl fɔːɹ wɪmɪn,ʔoksjtɾolfoɾwomen,rogaine for women,ɹɑːgeɪn fɔːɹ wɪmɪn,ɾogaʔineʔfoɾwomen,0
hydrap es,haɪdɹæp iːz,hjdɾapʔes,hydro reserp,haɪdɹoʊ ɹɪsɜːp,hjdɾoɾeseɾp,0
tnkase,tiːɛŋkeɪs,tŋkase,t pa,tiː pɑː,tpaʔ,1
zelapar,zɛlɐpɑːɹ,zelapaɾ,zyprexa zydis,zɪpɹɛksə zaɪdiz,zjpɾeksaʔzjdis,1
methadone,mɛθɐdoʊn,methadone,metolazone,mɛɾəlæzoʊn,metolasone,1
amikin,æmɪkɪn,ʔamikin,kineret,kaɪnɹɪt,kineɾet,1
lamictal,læmɪktəl,lamiktal,lampit,læmpɪt,lampit,0
permitil,pɚmɪɾɪl,peɾmitil,prantal,pɹæntəl,pɾantal,0
android 10,ændɹɔɪd tɛn,ʔandɾoid10,android f,ændɹɔɪd ɛf,ʔandɾoidf,0
fioricet w codeine,fɪoːɹɪsɪt dʌbəljuː koʊdaɪn,fioɾajsetwkodejne,prometh vc w codeine,pɹoʊmiːθ viːsiː dʌbəljuː koʊdaɪn,pɾometvkwkodejne,0
paroxetine,pæɹəksɛtiːn,paɾoksetine,proketazine,pɹoʊktɐziːn,pɾoketasʔineʔ,0
renvela,ɹɛnvɛlə,ɾenvela,renova,ɹɛnoʊvə,ɾenova,0
kadian,keɪdiən,kadiʔan,zykadia,zaɪkeɪdiə,zjkadia,0
alfentanil,ɐlfɛntɐnɪl,ʔalfentanil,gantanol,gæntɐnɑːl,gantanol,0
norlestrin 21 25 50,noːɹlɪstɹɪn twɛnti wʌn twɛnti faɪv fɪfti,noɾlestɾin212550,norlestrin 28 1 50,noːɹlɪstɹɪn twɛnti eɪt wʌn fɪfti,noɾlestɾin28150,0
ketamine,kɛɾɐmiːn,ketamine,ketorolac,kɛɾoːɹɑːlæk,ketoɾolak,1
disopyramide,dɪsɑːpɪɹæmaɪd,disopjɾamide,pyrazinamide,pɪɹeɪzɪnɐmaɪd,pjɾasinamide,0
hydralazine,haɪdɹɐlæziːn,hjdɾalasʔineʔ,hydromorphone,haɪdɹəmoːɹfoʊn,hjdɾomoɾphone,1
nexavar,nɛksɐvɑːɹ,neksavaɾ,nexium,niːksiəm,neksjum,1
mitomycin,maɪɾəmaɪsɪn,mitomjsjn,netromycin,nɛtɹəmaɪsɪn,netɾomjsjn,0
sulfadiazine,sʌlfeɪdɪɐziːn,sulfadiasʔineʔ,sulfisoxazole,sʌlfɪsɑːksɐzoʊl,sulfisoksasole,1
ponatinib,pɑːnɐtɪnɪb,ponatinib,phenytoin,fɛnɪtɔɪn,phenjtojn,0
aminocaproic acid in plastic container,ɐmɪnəkɐpɹoʊɪk æsɪd ɪn plæstɪk kənteɪnɚ,ʔaminokapɾojsʔasidʔinplastikkontaʔineɾ,mannitol 5 in plastic container,mænɪtɑːl faɪv ɪn plæstɪk kənteɪnɚ,mannitol5ʔinplastikkontaʔineɾ,0
lantus,læntəs,lantus,lente,lɛnt,lente,1
phentermine resin 30,fɛntɚmɪn ɹɛzɪn θɜːɾi,phenteɾmineɾesin30,phentermine resin complex,fɛntɚmɪn ɹɛzɪn kɑːmplɛks,phenteɾmineɾesinkompleks,0
cefotetan,sɛfoʊttən,kefotetan,fortesta,fɔːɹɾɛstə,foɾtesta,0
cozaar,kəzɑːɹ,kosaʔaɾ,zocor,zɑːkɚ,zokoɾ,1
mephyton,mɛfɪtən,mephjton,aquamephyton,ækweɪmfɪtən,ʔakamephjton,0
dextrose 5 sodium chloride 02 and potassium chloride 0224 in plastic container,dɛkstɹoʊz faɪv soʊdiəm kloːɹaɪd ziəɹoʊ tuː ænd pətæsiəm kloːɹaɪd ziəɹoʊtuːtuːfoːɹ ɪn plæstɪk kənteɪnɚ,dekstɾose5sodjumʧloɾide02ʔandpotasumʧloɾide0224ʔinplastikkontaʔineɾ,potassium chloride 015 in dextrose 5 and sodium chloride 011 in plastic container,pətæsiəm kloːɹaɪd ziəɹoʊ fɪftiːn ɪn dɛkstɹoʊz faɪv ænd soʊdiəm kloːɹaɪd ziəɹoʊ ɪlɛvən ɪn plæstɪk kənteɪnɚ,potasumʧloɾide015ʔindekstɾose5ʔandsodjumʧloɾide011ʔinplastikkontaʔineɾ,0
prograf,pɹoʊgɹæf,pɾogɾaf,proscar,pɹəskɑːɹ,pɾoskaɾ,1
levbid,lɛvbɪd,levbid,levo t,liːvoʊ tiː,levoʔt,0
bactrim ds,bæktɹɪm diːɛs,baktɾimds,bactroban,bæktɹɑːbən,baktɾoban,0
cefazolin,sɛfɐzɑːlɪn,kʔefasolin,ethamolin,ɛθɐmɑːlɪn,ʔethamolin,0
viokase,vaɪəkeɪs,viokase,viokase 8,vaɪəkeɪs eɪt,viokase8,1
testoderm,tɛstoʊdɜːm,testodeɾm,testoderm with adhesive,tɛstoʊdɜːm wɪð ɐdhiːsɪv,testodeɾmwitʔadhesive,1
roxanol,ɹɑːksɐnɑːl,ɾoksanol,roxicodone intensol,ɹɑːksɪkɑːdoʊn ɪntɛnsɑːl,ɾoksjsodoneʔintensol,1
lexiva,lɛksɪvə,leksiva,pexeva,pɛksɛvə,pekseva,1
steglatro,stɛglætɹoʊ,steglatɾo,statrol,stætɹɑːl,statɾol,0
doribax,doːɹɪbæks,doɾibaks,doryx,doːɹɪks,doɾjks,0
dynacin,daɪnɐsɪn,djnasjn,dynacirc,daɪnɐsɜːk,djnasjɾs,1
micronase,maɪkɹoʊneɪs,mikɾonase,micronor,maɪkɹoʊnoːɹ,mikɾonoɾ,0
remeron,ɹɪmɜːɹən,ɾemeɾon,rozerem,ɹoʊzɹəm,ɾozeɾem,1
ranitidine,ɹænɪtɪdiːn,ɾanitidine,rimantadine,ɹɪmɐntædiːn,ɾimantadine,1
rifampin,ɹɪfɐmpɪn,ɾifampin,rifaximin,ɹɪfɐksɪmɪn,ɾifaksimin,1
amphotericin b,æmfoʊtɹɪsɪn biː,ʔamphoteɾajsjnb,amphotericin b liposomal,æmfoʊtɹɪsɪn biː lɪpəsɑːməl,ʔamphoteɾajsjnbliposomal,1
neulasta,nuːlæstə,neulasta,neumega,nuːmɛgə,neumega,1
isotretinoin,aɪsətɹɛtɪnɔɪn,ʔisotɾetinojn,tretinoin,tɹɛtɪnɔɪn,tɾetinojn,1
provera,pɹɑːvɚɹə,pɾoveɾa,frova,fɹoʊvə,fɾova,0
navane,næveɪn,navaneʔ,dalvance,dælvəns,dalvejnkeʔ,0
prograf,pɹoʊgɹæf,pɾogɾaf,prozac,pɹɑːzæk,pɾosak,1
flonase,flɑːneɪs,flonase,glynase,glaɪneɪs,gljnase,0
lipitor,lɪpɪɾɚ,lipitoɾ,loniten,lɑːnaɪʔn,loniten,1
lampit,læmpɪt,lampit,limbitrol,lɪmbɪtɹɑːl,limbitɾol,0
zelboraf,zɛlboːɹæf,zelboɾaf,zilbrysq,zɪlbɹɪsk,zilbɾjsk,0
novolin,nɑːvəlɪn,novolin,ventolin,vɛntəlɪn,ventolin,0
quetiapine,kwɛʃɪæpaɪn,ketiʔapine,quelicin,kwɛlɪsɪn,kejsjn,0
baricitinib,bæɹɪsɪtɪnɪb,baɾjsitinib,tofacitinib,tɑːfɐsɪtɪnɪb,tofasjtinib,0
ketorolac,kɛɾoːɹɑːlæk,ketoɾolak,detrol la,dɪtɹɑːl læ,detɾolla,0
hydroxyurea,haɪdɹɑːksɪjuːɹiə,hjdɾoksjuɾea,hydroxyzine,haɪdɹɑːksɪziːn,hjdɾoksjzine,1
clarispray,klæɹɪspɹeɪ,klaɾispɾaj,claritin,klæɹɪtɪn,klaɾitin,1
floranex,floːɹeɪnɛks,floɾaneks,fluoroplex,flʊɹɹəplɛks,fluʔoɾopleks,0
chlordiazepoxide,kloːɹədɪeɪzpɑːksaɪd,ʧloɾdiʔazepokside,chlorpromazine,kloːɹəpɹɑːmɐziːn,ʧloɾpɾomasʔineʔ,1
chlorpromazine,kloːɹəpɹɑːmɐziːn,ʧloɾpɾomasʔineʔ,chlorofair,kloːɹoʊfɛɹ,ʧloɾofajɾ,0
abiraterone acetate,æbɚɹæɾɚɹoʊn æsɪteɪt,ʔabiɾateɾoneʔaketate,lanreotide acetate,lænɹɪɑːɾaɪd æsɪteɪt,lanɾeotideʔaketate,0
depo medrol,dɪpoʊ mɛdɹɑːl,depomedɾol,neo medrol,niːoʊ mɛdɹɑːl,neomedɾol,0
amantadine,æmɐntædiːn,ʔamantadine,amiodarone,æmɪɑːdɐɹoʊn,ʔamiodaɾone,1
platinol,plætɪnɑːl,platinol,akrinol,ækɹɪnɑːl,ʔakɾinol,0
hydromorphone,haɪdɹəmoːɹfoʊn,hjdɾomoɾphone,morphine,mɔːɹfiːn,moɾphine,1
influenza virus vaccine,ɪnfluːɛnzə vaɪɹəs væksiːn,ʔinflujsaviɾusvakʔineʔ,tuberculin purified protein derivative,tuːbɚkjʊlɪn pjʊɹɹɪfaɪd pɹoʊtiːn dɪɹɪvətɪv,tubeɾsulinpuɾifiʔedpɾotejndeɾivative,1
pavulon,pævjʊlən,pavulon,peptavlon,pɛptævlən,peptavlon,1
abacavir sulfate and lamivudine,æbɐkævɪɹ sʌlfeɪt ænd læmɪvjuːdiːn,ʔabakavjɾsulfateʔandlamivudine,dolutegravir sodium and abacavir sulfate and lamivudine,dɑːluːtɛgɹɐvɪɹ soʊdiəm ænd æbɐkævɪɹ sʌlfeɪt ænd læmɪvjuːdiːn,dolutegɾavjɾsodjumʔandʔabakavjɾsulfateʔandlamivudine,0
darvocet,dɑːɹvɑːsɪt,daɾvoket,percocet,pɜːkɑːsɪt,peɾkoket,1
sufentanil,suːfəntænɪl,sufentanil,sutent,suːtənt,sutent,0
lasix,læsɪks,lasiks,luvox,luːvɑːks,luvoks,1
aldoril 25,ɔːldoːɹəl twɛnti faɪv,ʔaldoɾil25,aldoril d30,ɔːldoːɹəl diː θɜːɾi,ʔaldoɾild30,0
prenexa,pɹɪnɛksə,pɾeneksaʔ,ranexa,ɹeɪŋksə,ɾaneksaʔ,1
airduo digihaler,ɛɹdjuːoʊ dɪdʒɪheɪlɚ,ʔaʔiɾduʔodigihaleɾ,proair digihaler,pɹoʊɜː dɪdʒɪheɪlɚ,pɾoajɾdigihaleɾ,0
lamisil,læmɪsəl,lamisil,amitril,æmɪtɹəl,ʔamitɾil,0
truqap,tɹuːkæp,tɾukap,trusopt,tɹuːsɑːpt,tɾusopt,0
apresoline,æpɹeɪɑːliːn,ʔapɾesoline,pyrolite,paɪɹoʊlaɪt,pjɾolite,0
folinic acid,fəlɪnɪk æsɪd,folinikʔasid,zoledronic acid,zoʊldɹɑːnɪk æsɪd,zoledɾonjsʔasid,0
vigabatrin,vɪgɐbætɹɪn,vigabatɾin,gabitril,gæbɪtɹəl,gabitɾil,0
colace,kɑːleɪs,kolakeʔ,cozaar,kəzɑːɹ,kosaʔaɾ,1
zyrtec,zɪətɛk,zjɾtek,zyrtec itchy eye drops,zɪətɛk ɪtʃi aɪ dɹɑːps,zjɾtekiʧjʔejedɾops,1
lamictal,læmɪktəl,lamiktal,amitril,æmɪtɹəl,ʔamitɾil,0
neratinib,nɛɹɐtɪnɪb,neɾatinib,nilotinib,naɪlətɪnɪb,nilotinib,1
doxorubicin,dɑːksoːɹuːbɪsɪn,doksoɾubjsjn,doxorubicin liposomal,dɑːksoːɹuːbɪsɪn lɪpəsɑːməl,doksoɾubjsjnliposomal,1
quinine,kwɪnaɪn,kinine,quinalan,kwɪnɐlæn,kinalan,0
abiraterone acetate,æbɚɹæɾɚɹoʊn æsɪteɪt,ʔabiɾateɾoneʔaketate,cortef acetate,kɔːɹɾɛf æsɪteɪt,koɾtefʔaketate,0
fluzone high dose quadrivalent,fluːzoʊn haɪ doʊs kwɑːdɹaɪvələnt,flusonehighdosekadɾivalent,fluzone quadrivalent,fluːzoʊn kwɑːdɹaɪvələnt,flusonekadɾivalent,1
norepinephrine bitartrate in 09 sodium chloride,noːɹpaɪnfɹiːn baɪtɑːɹtɹeɪt ɪn ziəɹoʊ naɪn soʊdiəm kloːɹaɪd,noɾepinephɾinebitaɾtɾateʔin09sodjumʧloɾide,norepinephrine bitartrate in 5 dextrose,noːɹpaɪnfɹiːn baɪtɑːɹtɹeɪt ɪn faɪv dɛkstɹoʊz,noɾepinephɾinebitaɾtɾateʔin5dekstɾose,0
venofer,vɛnoʊfɚ,venofeɾ,vfend,viːfɛnd,vfend,1
alprazolam,ælpɹɐzɑːlæm,ʔalpɾasolam,lorazepam,loːɹeɪzpæm,loɾasepam,1
rasageline,ɹæseɪdʒlaɪn,ɾasageline,nasalide,neɪzəlaɪd,nasalide,0
flovent diskus 250,flʌvɛnt dɪskjuːz tuːhʌndɹɪd fɪfti,flavntdiskus250,flovent diskus 50,flʌvɛnt dɪskjuːz fɪfti,flavntdiskus50,0
hc hydrocortisone,eɪtʃsiː haɪdɹəkɔːɹɾɪsoʊn,hkhjdɾokoɾtisone,hydrocortisone,haɪdɹəkɔːɹɾɪsoʊn,hjdɾokoɾtisone,0
symbyax,sɪmbɪæks,sjmbjaks,symbicort,sɪmbɪkɔːɹt,sjmbjsuɾt,0
vfend,viːfɛnd,vfend,vimpat,vɪmpæt,vimpat,1
salagen,sælədʒən,salagen,selsun,sɛlsʌn,selsun,0
ortho cyclen 28,ɔːɹθoʊ saɪklən twɛnti eɪt,ʔoɾthoʔsikeln28,ortho tri cyclen lo,ɔːɹθoʊ tɹaɪ saɪklən loʊ,ʔoɾthoʔtɾisikelnlo,0
epirubicin,ɛpɪɹuːbɪsɪn,ʔepiɾubjsjn,eribulin,ɛɹɪbjʊlɪn,ʔeɾibulin,1
thalomid,θæləmɪd,thalomid,thiamine,θaɪəmaɪn,thiʔamine,1
aricept,æɹaɪsəpt,ʔaɾjsept,azilect,æzaɪləkt,ʔazilkt,1
celexa,sɛlɛksə,kʔelksaʔ,celecoxib,sɛlɪkɑːksɪb,kʔelkoksib,0
vexol,vɛksɑːl,veksol,vosol,vɑːsɑːl,vosol,1
hydrochlorothiazide,haɪdɹəkloːɹoʊθɪeɪzaɪd,hjdɾoʧloɾothiʔazide,hydroxychloroquine sulfate,haɪdɹɑːksɪkloːɹoʊkwaɪn sʌlfeɪt,hjdɾoksjʧloɾokinesulfate,0
acebutolol hydrochloride,ɐsɛbjuːtɑːlɑːl haɪdɹəkloːɹaɪd,ʔakebutololhjdɾoʧloɾide,ropinirole hydrochloride,ɹəpɪnɪɹoʊl haɪdɹəkloːɹaɪd,ɾopiniɾolehjdɾoʧloɾide,0
capozide 25 15,kæpəzaɪd twɛnti faɪv fɪftiːn,kapozide2515,capozide 50 15,kæpəzaɪd fɪfti fɪftiːn,kapozide5015,0
nicardipine,nɪkɑːɹdɪpaɪn,nikaɾdipine,nifedipine,naɪfdɪpaɪn,nifedipine,1
risperidone,ɹɪspɚɹɪdoʊn,ɾispeɾidone,ropinirole,ɹəpɪnɪɹoʊl,ɾopiniɾole,1
methotrexate,mɛθətɹɛkseɪt,methotksate,metolazone,mɛɾəlæzoʊn,metolasone,1
clobazam,kloʊbɐzæm,klobasam,clonazepam,klɑːneɪzpæm,klonasepam,1
blisovi 24 fe,blɪsoʊvi twɛnti foːɹ fiː,blisovi24fe,blisovi fe 1 20,blɪsoʊvi fiː wʌn twɛnti,blisovife120,1
bextra,bɛkstɹə,bekstɾa,bactroban,bæktɹɑːbən,baktɾoban,0
protain xl,pɹoʊteɪn ɛksɛl,pɾotaʔinksl,innopran xl,ɪnnɑːpɹən ɛksɛl,ʔinnopɾanksl,0
chlorpromazine,kloːɹəpɹɑːmɐziːn,ʧloɾpɾomasʔineʔ,chlorpropamide,kloːɹəpɹɑːpɐmaɪd,ʧloɾpɾopamide,1
lactated ringer s and dextrose 5 in plastic container,lækteɪɾɪd ɹɪŋɚɹ ɛs ænd dɛkstɹoʊz faɪv ɪn plæstɪk kənteɪnɚ,laktatedɾiŋeɾsʔanddekstɾose5ʔinplastikkontaʔineɾ,lactated ringer s in plastic container,lækteɪɾɪd ɹɪŋɚɹ ɛs ɪn plæstɪk kənteɪnɚ,laktatedɾiŋeɾsʔinplastikkontaʔineɾ,0
probalan,pɹoʊbɐlæn,pɾobalan,propulsid,pɹəpʌlsɪd,pɾopulsid,0
dactinomycin,dæktɪnəmaɪsɪn,daktinomjsjn,daptomycin,dæptəmaɪsɪn,daptomjsjn,1
focalgin b,foʊkɐldʒɪn biː,fokalginb,focalin,foʊkɐlɪn,fokalin,1
polycillin,pɑːlɪsɪlɪn,poljsillin,staphcillin,stæfsɪlɪn,staphsillin,0
claritin,klæɹɪtɪn,klaɾitin,acalabrutinib,ɐkælɐbɹuːtɪnɪb,ʔakalabɾutinib,0
tresiba,tɹɛzɪbə,tɾesiba,trizivir,tɹaɪzɪvɪɹ,tɾizivjɾ,0
zyprexa,zɪpɹɛksə,zjpɾeksaʔ,zyrtec,zɪətɛk,zjɾtek,1
sinequan,saɪŋkwən,sinekan,zeniquin,zɛnɪkwɪn,zenikin,1
celebrex,sɛlɪbɹɛks,kelebɾeks,cleviprex,klɛvɪpɹɛks,kelvipɾeks,0
norpramin,noːɹpɹɐmɪn,noɾpɾamin,norplant,noːɹplənt,noɾplant,0
pyridium,pɪɹɪdiəm,pjɾidjum,pyridoxine,pɪɹɪdɑːksaɪn,pjɾidoksʔineʔ,1
folic acid,fɑːlɪk æsɪd,folikʔasid,carglumic acid,kɑːɹgluːmɪk æsɪd,kaɾglumikʔasid,0
zyloprim,zaɪlɑːpɹɪm,zjlopɾim,zelnorm,zɛlnɔːɹm,zelnoɾm,0
pioglitazone hydrochloride and glimepiride,pɪɑːglɪtæzoʊn haɪdɹəkloːɹaɪd ænd glaɪmpɪɹɪd,pioglitasonehjdɾoʧloɾideʔandglimepiɾide,pioglitazone hydrochloride and metformin hydrochloride,pɪɑːglɪtæzoʊn haɪdɹəkloːɹaɪd ænd mɛtfoːɹmɪn haɪdɹəkloːɹaɪd,pioglitasonehjdɾoʧloɾideʔandmetfoɾminhjdɾoʧloɾide,0
triavil 2 25,tɹaɪævəl tuː twɛnti faɪv,tɾiʔavjl225,triavil 4 50,tɹaɪævəl foːɹ fɪfti,tɾiʔavjl450,0
methyldopa,mɛθəldoʊpə,methjldopa,methyldopate hcl,mɛθəldɑːpeɪt eɪtʃsiːɛl,methjldopateʔhkl,0
letairis,lɛɾɛɹɪs,letaiɾis,letaris,lɛtɑːɹɹɪs,letaɾis,1
lariam,lɛɹiəm,laɾjam,levaquin,lɛvɐkwɪn,levakin,1
zebeta,zɛbɛɾə,zebeta,zetia,zɛʃə,zetia,1
jantoven,dʒæntoʊvən,ʤantoven,janumet,dʒænuːmɪt,ʤanumet,1
avandia,ævændiə,ʔavandia,avanafil,ævɐnæfɪl,ʔavanaʔfil,0
doxil,dɑːksɪl,doksil,paxil,pæksɪl,paksil,1
romidepsin,ɹɑːmaɪdpsɪn,ɾomidepsin,romiplostim,ɹɑːmɪplɑːstɪm,ɾomiplostim,1
duloxetine,duːləksɛtiːn,duloksetine,paroxetine,pæɹəksɛtiːn,paɾoksetine,1
hydrea,haɪdɹiə,hjdɾea,lyrica,lɪɹɪkə,ljɾajsaʔ,1
linaclotide,lɪnɐklɑːɾaɪd,linaklotide,linagliptin,lɪnɐglɪptɪn,linagliptin,1
stavudine,stævjuːdiːn,stavudine,cystadane,sɪstɐdeɪn,sistadaneʔ,0
acthar gel,ækθɑːɹ dʒɛl,ʔaktaɾgel,hp acthar gel,eɪtʃpiː ækθɑːɹ dʒɛl,hpʔaktaɾgel,0
pyridostigmine,pɪɹɪdɑːstɪgmaɪn,pjɾidostigmine,pyridoxine,pɪɹɪdɑːksaɪn,pjɾidoksʔineʔ,1
cortrosyn,kɔːɹtɹəsɪn,koɾtɾosjn,corsym,kɔːɹsɪm,koɾsjm,0
heparin,hɛpɚɹɪn,hepaɾin,hespan,hɛspæn,hespan,1
patanol,pætɐnɑːl,patanol,patanase,pætɐneɪs,patanase,0
rifamate,ɹɪfɐmeɪt,ɾifamate,rifampin,ɹɪfɐmpɪn,ɾifampin,1
hydromorphone,haɪdɹəmoːɹfoʊn,hjdɾomoɾphone,hydroxyzine,haɪdɹɑːksɪziːn,hjdɾoksjzine,1
neumega,nuːmɛgə,neumega,neupogen,nuːpədʒən,neupogen,1
lumason,luːmeɪsən,lumason,lumizyme,luːmɪzaɪm,lumisjme,0
prilosec,pɹɪloʊsək,pɾilosek,prozac,pɹɑːzæk,pɾosak,1
depakote,dɪpækoʊt,depakote,depakote er,dɪpækoʊt ɜː,depakoteʔeɾ,1
daunorubicin,dɔːnoːɹuːbɪsɪn,daʔunoɾubjsjn,doxorubicin,dɑːksoːɹuːbɪsɪn,doksoɾubjsjn,1
fulvicin p g 165,fʊlvɪsɪn piː dʒiː wʌnhʌndɹɪd sɪksti faɪv,fulvjsjnpg165,fulvicin p g 330,fʊlvɪsɪn piː dʒiː θɹiːhʌndɹɪd θɜːɾi,fulvjsjnpg330,0
deltasone,dɛltɐsoʊn,deltasone,dilt cd,dɪlt siːdiː,diltkd,0
tegretol,tɛgɹɪtɑːl,tegɾetol,stromectol,stɹoʊmktɑːl,stɾomektol,0
isotretinoin,aɪsətɹɛtɪnɔɪn,ʔisotɾetinojn,acitretin,ɐsɪtɹɪtɪn,ʔasitɾetin,0
folex,foʊlɛks,foleks,embolex,ɛmboʊlɛks,ʔemboleks,0
methimazole,mɛθɪmæzoʊl,methimasole,metolazone,mɛɾəlæzoʊn,metolasone,1
celexa,sɛlɛksə,kʔelksaʔ,cerebyx,sɛɹɪbɪks,keɾebjks,1
enjuvia,ɛndʒuːviə,ʔenʤuvja,januvia,dʒænuːviə,ʤanuvja,1
abacavir sulfate and lamivudine,æbɐkævɪɹ sʌlfeɪt ænd læmɪvjuːdiːn,ʔabakavjɾsulfateʔandlamivudine,lamivudine and zidovudine,læmɪvjuːdiːn ænd zɪdəvjuːdiːn,lamivudineʔandzidovudine,0
evotaz,ɪvɑːɾæz,ʔevotas,evoxac,ɪvɑːksæk,ʔevoksak,0
epirubicin,ɛpɪɹuːbɪsɪn,ʔepiɾubjsjn,cerubidine,sɛɹuːbɪdiːn,keɾubidine,0
colcrys,kɑːlkɹiz,kolkɾjs,colocort,koʊləkɔːɹt,kolokoɾt,0
talvey,tælveɪ,talvej,tecvayli,tɛkveɪli,tekvajliʔ,1
probenecid,pɹoʊbnɪsɪd,pɾobenesid,procanbid,pɹɑːkɐnbɪd,pɾokanbid,1
paxil,pæksɪl,paksil,plavix,plævɪks,plavjks,1
rapaflo,ɹæpæfloʊ,ɾapaʔfloʔ,rapamune,ɹæpɐmjuːn,ɾapamune,1
sonata,sənɑːɾə,sonataʔ,soriatane,soːɹɪæteɪn,soɾjataneʔ,1
diabeta,daɪəbɛɾə,diabeta,zebeta,zɛbɛɾə,zebeta,1
pemetrexed,pɛmiːɾɚkst,pemetɾeksed,pralatrexate,pɹælɐtɹɛkseɪt,pɾalatɾeksate,1
denavir,dɛnɐvɪɹ,denavjɾ,indinavir,ɪndɪnɐvɪɹ,ʔindinavjɾ,1
clindamycin palmitate hydrochloride,klɪndɐmaɪsɪn pɑːmɪteɪt haɪdɹəkloːɹaɪd,klindamjsjnpalmitateʔhjdɾoʧloɾide,ticlopidine hydrochloride,tɪkləpɪdiːn haɪdɹəkloːɹaɪd,tiklopidinehjdɾoʧloɾide,0
gentamicin,dʒɛntɐmɪsɪn,gentamjsjn,gentian violet,dʒɛnʃən vaɪəlɪt,gentiʔanviolet,1
