Brand Name,Confusible,label
Levesaph,Symdex-D Forte,u
Essenscents,Mupifer-C,u
Saphylline,Complivit Plus,u
Saphixime 200,Zerone-Sul,u
White Flower SR,Zefifarm,u
Ranipen,Eracef-S,u
Cavsamir,Floxsafe,u
Clonisaph-Inf,Belket,u
Levesaph,Zitabin-200,u
Olandus ODT 5,Ibles,u
CEFTAZIDEN,Rozuhil-20,u
Zylura 80,Livertiale,u
Bronchonov,Zithrovic,u
Nulong 10,Luzinc,u
Cosopt,Amapine V 5/160,u
Cistovent,Sofenac,u
Ketomitab,Ecolide,u
CIFREM,Nizoled-600,u
Sulbacin 0.75,Dafenac,u
Risek 40,Nebstyle 5,u
XAMIOL,Drexabion,u
Eopenem,Amlocare Plus,u
Zincsulsaph,Drexabion,u
Andros,Khrizcopan 10,u
Ketodix,Anifer,u
Preven-Z Gold,Frenvo,u
Glimesaph T4,Cefukon-DS,u
Mupisur,Biozart 50,u
Amlocare Plus,Zobexelle,u
Zylura 80,Relzin,u
HES-130,Pantopraz IV,u
AMSUL,Zetron,u
Amikate,Transderm-Nitro 5,u
XOVIRAL,Florvast 80,u
Triloupe,Strocit 4 mL,u
Krijenta,GOMILLIN 500,u
Voriz,Giran-16,u
Fedpain,Naphcon-A,u
Clavxytin,Omnicure-1,u
Rabaphen,Hyolax,u
Atropos,Brexi 0.5,u
Flucopharm,Genoxiclav,u
Dorzodin Plus,Urogen,u
CFX-200,Amikate,u
Zantol,Diquas-S,u
Powermint,HES-130,u
Sulbacin 0.75,Alcoshield Ethyl Alcohol 70% Solution (Armour Boost),u
Vigadexa,Belara,u
Polynerv 1000,Lotrilip,u
Klomif,Vancokin,u
Moxinova CV,Urogen,u
Floxsafe,Epribenz-10,u
Gliflomet 500 + 5,AFM,u
Ecolide,Voricoz,u
Ipracare,Fedpain,u
Cosimetz,Providol,u
Fulzimed,Zobexelle,u
Prasusafe,Folironplex,u
Ketodix,Sulbacin 0.75,u
Mucolyptus,Diquas-S,u
Ketomitab,Prasusafe,u
Saphmustin,Pranol,u
Naabak,Rotoket,u
Telday H 80/12.5,Amikate,u
HAPI-C + Z,Alcoshield Ethyl Alcohol 70% Solution (Armour Boost),u
Diakon MR,Saphylline,u
Rondvit Plus C,Extocin,u
Floxsafe,Duphalac,u
Mupifer-C,Symdex-D Forte,u
Hepses,Folart,u
Emzart 80,Hinuron-E,u
Naphcon-A,Pranol,u
Klomif,Twinrix Adult,u
Parkimet CR,Drexabion,u
Rifoxane,Sofenac,u
Sanoxime,Irebevex 150,u
Hepses,Eracef-S,u
Rondvit Plus C,Piperwell,u
Complivit Plus,Vertisaph-8,u
Dimetapp DM Cold and Cough Elixir (Colour Free),Pregalife,u
Acrolim 0.1,Clavxytin,u
Rabaphen,Flazole,u
Martham,Zetron,u
J-Tinib,Pneumocon 13,u
Vigadexa,Roxime,u
Nicaright,Brexi 0.5,u
Telfast,Ezz-C,u
Tacroz Forte,Plogrel,u
Enervon C,AMSUL,u
Forair 250 DPI,Welzpime 1000,u
Feona FZ,Gem Pan 1000,u
F-ZEEN,Omnicure-1,u
Platikon,CEFTAZIDEN,u
Extocin,Levesaph,u
Diclonac,Arcimet,u
Parabufen,AMSUL,u
Emepraz-40,Apilone,u
Clavxytin,Gem Pan 1000,u
Cetirid,Paraflu,u
Levesaph,SPIRE,u
Transmetil,Zefifarm,u
Fixcure,Trimevasc,u
Amapine V 5/160,Kodex,u
Telfast,Xylocare,u
Avator,Acetaffein,u
Voltaren Emulgel 12 Hours,Amtacil,u
Prazkon,Multibet Plus,u
Onecure,Pio-Source,u
Saver Select,Providol,u
Ceftris,Euroxime,u
Maxitron,Acetyphil,u
Xylocare,Tigilyn,u
Clofina,Forair 250 DPI,u
Mucoriz,Amlobes,u
Axbin,Saphylline,u
Naphcon-A,Medzotam,u
Prebamin 150,Valcef,u
Atropos,BRILIPAN-20,u
Monphevin,Euroxime,u
Vigadexa,Tylin,u
Xaroban,Voricoz,u
Transderm-Nitro 5,Valazyd AM 10/160,u
Piperwell,Ekosart,u
Ketodix,Axbin,u
Brexi 0.5,Twinrix Adult,u
Pantin 40,Powermint,u
Decolgen,Moxinova CV,u
Clopres,Orfemed,u
Frenvo,Endosine,u
Valcef,Orfemed,u
Norash,Fedpain,u
HAPI-C + Z,Torval H 320/12.5,u
Ketroxen,Flucopharm,u
Moxinova CV,Gabasyn,u
Mucolyptus,Atropos,u
Fulzimed,Anplat,u
Risek 40,Rondvit Plus C,u
Elifer,Luzinc,u
Asvent,Amidozil,u
Cortef-250,Atorsaph,u
Normabrain-800,HAPI-C + Z,u
Piorance-15,OTOFLOX,u
Eopenem,Cefitrene 100,u
Amlobloc Duo,Eracef-S,u
Naphcon-A,Symdex-D Forte,u
Julitam I.V.,Irbenov-300,u
Lovaz,Roxxin,u
Hinuron-E,AFM,u
HES-130,Decolgen,u
Cefukon-DS,Siderfol,u
Ekosart,Kodex,u
Essenscents,Carbastal,u
Ursodynova 300,Ketomitab,u
Risek 40,Zeenate,u
Lozamex,Nervilor 150,u
Gabasyn,Silgram,u
Gliflomet 500 + 5,Florvast 80,u
Cerin-250,Eye Glo Relief,u
Talafil,OTOFLOX,u
Rotoket,Andros,u
Fevaxid DS 250,Floxsafe,u
Zolid Plus,Krijenta,u
Endosine,Rotoket,u
Levesaph,Zylura 80,u
Powermint,Tres,u
Plasid,Geobactam-1.5,u
Linesave,Rotoket,u
Zitabin-200,Livertiale,u
Ezz-C,Flammasul,u
Roxxin,Tylin,u
F-ZEEN,Strocit 4 mL,u
Vigadexa,ARB,u
Depamax,Maalum,u
Huanopril,ARB,u
Cordizar,Diclonac,u
Indirab,Axbin,u
Huanopril,Feravin,u
AMSUL,Vigadexa,u
Piperwell,Ammocil,u
XOVIRAL,Transmetil,u
Mucoriz,Saphixime 200,u
Healthcare Paracetamol (For Export Only),Prixanep-500,u
ESSENCEE,Bico-120,u
DARYTH,Valazyd AM 10/160,u
Euroxime,Kedar,u
Cefiden,Irbevex 300,u
Kedar,Benace,u
Lotrilip,Cosopt,u
Ketroxen,Medicol I-400,u
Siderfol,Ketomitab,u
Geobactam-1.5,Vomivert,u
Normabrain-800,Preven-Z Gold,u
Khrizcopan 10,Ammocil,u
Piorance-15,Silbecor,u
Apcee,Remicade,u
Parkimet CR,Olandus ODT 5,u
Diclonac,Floxsafe,u
Hinuron-E,Zeenate,u
Sybromex,Silgram,u
Hepamedica,Neurophrine,u
Diakon MR,Atorsaph,u
Amlobes,Bacracil,u
G-PRAZ,Apcee,u
Symdex-D Forte,Apilone,u
Arcimet,OTOFLOX,u
Gabasyn,Ivtig,u
Muconil,Cetirid,u
Elifer,Belara,u
Triloupe,Astrofen,u
Malapine-10,Gabasaph-300,u
Zerone-Sul,Belara,u
Linesave,Tacroz Forte,u
Talafil,Zeenate,u
Nutri-Aid,Elifer,u
Gompsul 750,Clonisaph-Inf,u
G-PRAZ,Xaroban,u
Zantol,F-ZEEN,u
Josilvite,Arcimet,u
Emzart 80,DARYTH,u
Belara,Beralipids,u
Carbastal,Tres,u
Amikate,Saphciferol-2000,u
Amikate,Belket,u
Zylura 80,Zolvar,u
Fulzimed,Lox,u
Norash,Olzitec,u
Nulong 10,Awanay Forte,u
Fevaxid DS 250,Gabasyn,u
Risek 40,Xaroban,u
Endosine,Cerin-250,u
Nazogen,Mepracid 40,u
Kingfloxin,AMSUL,u
Zitabin-200,Stanis,u
Ammocil,Piorance-15,u
Drenex,Rotoket,u
Fedpain,Siderfol,u
Angimet,Bico-120,u
Roxime,Fedpain,u
AMSUL,ARB,u
ARB,Silgram,u
Tiradol,Lotrilip,u
Welzpime 1000,Pregalife,u
J-Tinib,Myrevit-B Forte,u
Amlocare Plus,Mupisur,u
Gastrosaph,Lox,u
Metacartin,SUREF,u
Xafariv 15,Cavsamir,u
Zyrova 20,Oxalivid 100,u
Fixcure,Tacroz Forte,u
Vomivert,Ecolide,u
Sybromex,Zylura 80,u
Eopenem,Rifoxane,u
Alsea-E,Livertiale,u
Zeenate,Simbrinza,u
Ketomitab,Medicol I-400,u
Bacracil,XOVIRAL,u
Medicol I-400,AMSUL,u
Amlobes,Alcoshield Ethyl Alcohol 70% Solution (Armour Boost),u
Livamin,Enervon C,u
Alsea-E,Udcapro,u
Huanopril,Relzin,u
Naabak,Amtacil,u
Ketomitab,Piorance-15,u
AFM,Clavaxie 312.5 DT,u
Engerix B,Kodex,u
Roxxin,Xaroban,u
Coxigen-60,Zobexelle,u
Euroxime,BRILIPAN-20,u
EC-Vit,Atussin,u
Asvimol,Zeenate,u
CEFTAMED,Geobactam-1.5,u
Insulyf-30/70 (Biphasic),Apilone,u
Fevaxid DS 250,Asvent,u
Lexib,Plasid,u
Glyhart,Irbevex 300,u
Astrofen,Esmazol,u
Remicade,Amtacil,u
Hepses,Qortisol,u
Gofuroxime,Cordizar,u
Zetron,Malapine-10,u
Zolid Plus,Torval-80,u
Belket,Amlobes,u
Gabasaph-300,Acuvis,u
Dimetapp DM Cold and Cough Elixir (Colour Free),Tylin,u
Awanay Forte,Olandus ODT 5,u
Asvimol,Ammocil,u
Dexplatin,Thiosol,u
Nervcedil,Aldic,u
Livamin,Cosimetz,u
Luzinc,Vigadexa,u
Acuvis,Cerox,u
Levesaph,Drexabion,u
Sulbacin 0.75,Luzinc,u
Ursodynova 300,Mentra 10,u
Zincsulsaph,Elifer,u
Pio-Source,Dorexcef,u
Carbastal,Olzitec,u
Ceftris,Acetaffein,u
Zyrova 20,Nutri-Aid,u
Ampic-500,Insulyf-30/70 (Biphasic),u
Rondvit Plus C,Carbastal,u
Fixcure,BRILIPAN-20,u
Roxxin,Capeceen,u
Torval H 320/12.5,Healthcare Paracetamol (For Export Only),u
Aziro-500,Klomif,u
Cavsamir,Ranipen,u
Biozart 50,Emizole,u
Pantin 40,Sybromex,u
Olangem OD 20,Nulong 10,u
Voricoz,Naabak,u
Olangem OD 20,Medifortan-C Plus Zinc,u
RegiCee,Gliflomet 1000 + 10,u
Saver Select,Belket,u
Flucopharm,Medzotam,u
Torval H 320/12.5,Latosil,u
Folart,Xylocare,u
Kedar,Gliflomet 500 + 5,u
Acrolim 0.1,Indirab,u
Medifortan-C Plus Zinc,Sinustap,u
Transmetil,Naphcon-A,u
Mupifer-C,Alcoshield Ethyl Alcohol 70% Solution (Armour Boost),u
Parabufen,Latosil,u
Axbin,Atorsaph,u
Telday H 80/12.5,Nutri-Aid,u
DIPP-4 PLUS,Pantin 40,u
Pregalife,Maalum,u
Avax,Irbenov-300,u
Syngly-4,Relzin,u
Dilantin,Rixan 20,u
Nutri-Aid,Histakon,u
Fixcure,Metacartin,u
HAPI-C + Z,Norash,u
Irbevex 300,Emepraz-40,u
Diakon MR,Nature-E,u
Histakon,Zantol,u
Bico-120,Apilone,u
Clavaxie 312.5 DT,Klomif,u
Clavxytin,Anplat,u
Silgram,Nulong 10,u
Nature-E,Clavaxie 312.5 DT,u
Amikate,Nizoled-600,u
Clopres,Xet 20,u
Mucolyptus,CEFTAZIDEN,u
Livertiale,BRILIPAN-20,u
Ursodynova 300,Fulzimed,u
Dorzodin Plus,Eopenem,u
Apilone,Histacort,u
Xafariv 15,Nervilor 150,u
Saphmustin,Maxitron,u
Sinustap,Depamax,u
Prazobac,Diabee,u
Varivax,Telday H 80/12.5,u
Colvan,Zincsulsaph,u
Josilvite,Lexib,u
Valazyd AM 10/160,Uriflo-D,u
Tacroz Forte,AMSUL,u
Prebamin 150,Sanoxime,u
Erlocip 150,Malapine-10,u
Muskelax,Ketroxen,u
Complivit Plus,Avax,u
Piperwell,Medifortan-C Plus Zinc,u
Telday H 80/12.5,Roxime,u
Obrex,Diquas-S,u
Ironse,Folart,u
Varivax,BRILIPAN-20,u
Docxol,Accetaxime,u
Beralipids,Orfemed,u
Goxy Inj,Colvan,u
Krijenta,Norash,u
Portemp,Ivtig,u
Thiosol,Clonisaph-Inf,u
Martham,Saver Select,u
Acuvis,Pneumocon 13,u
Udcapro,Bronchonov,u
Ketodix,Ibles,u
Zyrova 20,Docxol,u
Histacort,Nervcedil,u
Biemefrin,Haruvita,u
Flazole,Sofenac,u
Asvimol,Martham,u
Amikate,Gem Pan 1000,u
DIPP-4 PLUS,Emepraz-40,u
Propravest,Trenaxin,u
Decolgen,CFX-200,u
Profmax,Oxamax 500,u
Cefiden,Zobexelle,u
Syngly-4,Julitam I.V.,u
Acetyphil,Glimesaph T4,u
Ivtig,Fulzimed,u
Ursodynova 300,Prasusafe,u
Zylura 80,CFX-200,u
Diclonac,Saphciferol-2000,u
Dorzodin Plus,Dilantin,u
Anifer,Gliflomet 1000 + 10,u
Ibles,Prixanep-500,u
Muconil,Plogrel,u
Angimet,Prasusafe,u
Goxy Inj,Thiosol,u
Dafenac,Asvent,u
Normabrain-800,Piperwell,u
Nervcedil,Profmax,u
Roxime,Dorzodin Plus,u
Florvast 80,Geozit,u
Dorexcef,Preven-Z Gold,u
Biemefrin,Asvimol,u
Muskelax,Gabasaph-300,u
Platikon,Livertiale,u
Duphalac,Vesogen,u
Duphalac,Bactezole,u
F-ZEEN,Dilantin,u
Rabaphen,Lovaz,u
Nulong 10,Avax,u
Essenscents,Docxol,u
Cerin-250,Propravest,u
Mepracid 40,Apcee,u
AFM,Acetaffein,u
Zeenate,Ezz-C,u
Cistovent,Metdazid,u
Procee Plus,Parkimet CR,u
Forair 250 DPI,Saphmustin,u
MON-G C,Polyderm 4,u
Talafil,Belket,u
Sinustap,Piorance-15,u
Propravest,Olangem OD 20,u
Clopres,Prasusafe,u
Glimesaph T4,Sulbacin 0.75,u
Vomivert,Cosimetz,u
Decolgen,Klomif,u
Kodex,Gompsul 750,u
BRILIPAN-20,Alsea-E,u
Dorexcef,Decolgen,u
Rotoket,Histacort,u
Hyolax,Frenvo,u
Pio-Source,Neo-Synalar 10,u
Zincsulsaph,Alsea-E,u
SUREF,BRILIPAN-20,u
Extocin,Nebstyle 5,u
Cefitrene 100,Alsea-E,u
Ketomitab,Asvent,u
Asvent,Florvast 80,u
Atorsaph,Stanis,u
Docxol,Khrizcopan 10,u
Beralipids,Simbrinza,u
OTOFLOX,Zolid Plus,u
Florvast 80,Arcimet,u
Cilosol 50,Epribenz-10,u
Plogrel,SUREF,u
Ampisulmax,Coxigen-60,u
Fendexi,Ceftris,u
Amidozil,Nature-E,u
Nervcedil,Kedar,u
Capeceen,Ezz-C,u
Docxol,Zefifarm,u
Naabak,Nazogen,u
Rozuhil-20,DARYTH,u
Pantopraz IV,Tiradol,u
Hycortil,Hepamedica,u
Trimevasc,Relzin,u
Transmetil,Josilvite,u
Rixan 20,Acecof,u
Docxol,Cefolic,u
BRILIPAN-20,Docxol,u
Tres,Nazogen,u
Latosil,Bronchilax,u
Hyolax,Belara,u
Biozart 50,Propravest,u
Vertisaph-8,Tacroz Forte,u
Luzinc,Arcimet,u
Fevaxid DS 250,Endosine,u
Neurophrine,Oxamax 500,u
Carbastal,Emzart 80,u
Moxinova CV,Syngly-4,u
Essenscents,Cefiden,u
Orfemed,Gliflomet 1000 + 10,u
Medifortan-C Plus Zinc,Folironplex,u
Telfast,Nutri-Aid,u
Bactezole,Acecof,u
Extocin,Cosopt,u
Diakon MR,Belket,u
Forair 250 DPI,Norash,u
Lotrilip,Brexi 0.5,u
Sitixime,Biozart 50,u
Acuvis,F-ZEEN,u
Nizoled-600,Sildiaz,u
Healthcare Paracetamol (For Export Only),Eye Glo Relief,u
Bronchonov,Pemtero 500,u
Hycortil,Kodex,u
Indirab,Emizole,u
Normabrain-800,Ibles,u
Belara,Cortef-250,u
Cefohab,Amikate,u
Cefolic,Kingfloxin,u
Nature-E,Khrizcopan 10,u
Gliflomet 500 + 5,Medifortan-C Plus Zinc,u
Genoxiclav,Geozit,u
Nizoled-600,Metacartin,u
Endosine,Regivell,u
Tacroz Forte,Silgram,u
Gliflomet 1000 + 10,RegiCee,u
Depamax,Polynerv 1000,u
Hepses,Medwin,u
Lotrilip,Gliflomet 1000 + 10,u
Tazidem,Krijenta,u
Piperwell,Irebevex 150,u
Erlocip 150,Flammasul,u
Zyrova 20,Roxxin,u
Andros,Omnicure-1,u
Ironse,Zantol,u
Ceftris,Alozure,u
Diquas-S,Ivtig,u
HES-130,Depamax,u
Welzpime 1000,Vesogen,u
Tacroz Forte,Telminex-80,u
Sofenac,Folart,u
CEFTAMED,Frenvo,u
Lexib,Cerin-250,u
Lotrilip,Milgesic Forte,u
Oxamax 500,Elifer,u
Ranipen,Glimesaph T4,u
Pranol,Gem Pan 1000,u
Nervilor 150,Huanopril,u
Ivtig,Fevaxid DS 250,u
Eye Glo Relief,Folironplex,u
Plogrel,Ammocil,u
Valcef,Awanay Forte,u
Aperusvit F,Asvimol,u
Zincsulsaph,Nizoled-600,u
Amapine V 5/160,Fulzimed,u
Saphixime 200,Awanay Forte,u
DARYTH,Emzart 80,u
Pio-Source,Euromycin,u
Torval H 320/12.5,Belara,u
Clofina,Zolvar,u
Clofina,Diflu,u
Apcee,DIPP-4 PLUS,u
Drenex,Ranipen,u
Milgesic Forte,Cefukon-DS,u
Clavaxie 312.5 DT,G-PRAZ,u
Voricoz,Tramicet,u
Zantol,HES-130,u
Flammasul,BRILIPAN-20,u
Thiosol,Emepraz-40,u
Enervon C,Bico-120,u
Axbin,Xafariv 15,u
Bico-120,Mentra 10,u
DIPP-4 PLUS,Avator,u
Trimevasc,Lotrilip,u
Strocit 4 mL,Kingfloxin,u
Telminex-80,Dexplatin,u
Diakon MR,SPIRE,u
Silgram,Lox,u
Cefolic,Awanay Forte,u
Asvimol,Nebstyle 5,u
Prazkon,Goxsime IV,u
F-ZEEN,Piperwell,u
Welzpime 1000,Naphcon-A,u
Portemp,Trenaxin,u
Xet 20,Regivell,u
Geozit,Vancokin,u
Thiosol,G-PRAZ,u
Remicade,Pantopraz IV,u
Polyderm 4,Amlocare Plus,u
Coxigen-60,Xephyra 30,u
F-ZEEN,Risek 40,u
Simbrinza,Urogen,u
Vancokin,Portemp,u
Gliflomet 500 + 5,White Flower SR,u
Cilosol 50,Platikon,u
Rabaphen,Omnicure-1,u
Belara,Essenscents,u
Glyhart,Gem Pan 1000,u
Ketomitab,Torval H 320/12.5,u
J-Tinib,Eye Glo Relief,u
Mupisur,Saver Select,u
Rozuhil-20,OTOFLOX,u
Euromycin,Saver Select,u
Forair 250 DPI,Pantin 40,u
Normabrain-800,Prazobac,u
Tractoban,Triloupe,u
Voriz,Tylin,u
Talafil,CFX-200,u
XAMIOL,Glocare Plus,u
Pio-Source,DARYTH,u
Voltaren Emulgel 12 Hours,Amlobes,u
Dorzodin Plus,Tylin,u
Nulong 10,Cetirid,u
Depamax,Clavxytin,u
Xet 20,Qortisol,u
Gompsul 750,Atussin,u
Lotadim,Zefifarm,u
Gastrosaph,Maalum,u
Indirab,Biozart 50,u
Cavsamir,Vomivert,u
Latosil,Emepraz-40,u
EC-Vit,Ibles,u
Engerix B,Voricoz,u
Hepses,Pemtero 500,u
Maxitron,Bactezole,u
Prazobac,MON-G C,u
AMSUL,Nutri-Aid,u
Mentra 10,Obrex,u
Metacartin,AMSUL,u
Dexplatin,Feona FZ,u
Xafariv 15,Cefitrene 100,u
Emepraz-40,Lovaz,u
Brexi 0.5,Cavsamir,u
Piorance-15,Zenkast,u
Preven-Z Gold,Ranipen,u
Goxsime IV,Maalum,u
Gabasyn,Duphalac,u
Vesogen,RegiCee,u
Paraflu,HAPI-C + Z,u
Decolgen,BRILIPAN-20,u
Geozit,Histakon,u
Acuvis,Zenkast,u
Emzart 80,Lotrilip,u
Ceftris,Lotrilip,u
Cosimetz,Eopenem,u
Anifer,Prozin,u
AFM,Flazole,u
Norash,Clonisaph-Inf,u
Goxsime IV,Prasusafe,u
Roxime,Khrizcopan 10,u
Hyolax,BRILIPAN-20,u
Plasid,Forair 250 DPI,u
Saphixime 200,Emzart 80,u
Oxalivid 100,Pantin 40,u
Bronchonov,Mepracid 40,u
Diflu,Zudicort,u
Relzin,Zolvar,u
Apcee,Prazobac,u
Silgram,Asterol,u
Latosil,Xet 20,u
Relzin,Folart,u
Neo-Synalar 10,Histacort,u
Ursodynova 300,Ibles,u
Pantin 40,Pio-Source,u
Medwin,Xafariv 15,u
Twinrix Adult,ESSENCEE,u
Acecof,Asvimol,u
Orfemed,J-Tinib,u
Onecure,Rozuhil-20,u
Portemp,Oxamax 500,u
Apilone,Folart,u
Polynerv 1000,Pregalife,u
Lovaz,Robitussin EX,u
Goxsime IV,Stanis,u
Pregalife,Insulyf-30/70 (Biphasic),u
Prazkon,Ibles,u
Alsea-E,Hematozol 50,u
Udcapro,Ampisulmax,u
Irebevex 150,Irbenov-300,u
Cerin-250,Zantol,u
Anifer,Myrevit-B Forte,u
Transderm-Nitro 5,Aldic,u
Xaroban,Mucoriz,u
Gem Pan 1000,Clavaxie 312.5 DT,u
Clavxytin,Obrex,u
Cilosol 50,AMSUL,u
Benace,Vesogen,u
Acecof,Brexi 0.5,u
Torval-80,Astrofen,u
Emepraz-40,Bactezole,u
CEFTAZIDEN,Rixan 20,u
Carbastal,Zetron,u
Insulyf-30/70 (Biphasic),Cordizar,u
Xylocare,Krijenta,u
Symdex-D Forte,Zerone-Sul,u
Moxinova CV,Ecolide,u
Preven-Z Gold,Nervcedil,u
Irbenov-300,Oxalivid 100,u
Xet 20,Cordizar,u
Procee Plus,Forair 250 DPI,u
Mupisur,Amikate,u
Zerone-Sul,Dafenac,u
Cetirid,Tiradol,u
Cefiden,Ampisulmax,u
Histakon,Atropos,u
Apilone,Josilvite,u
Xylocare,Flovidiazine,u
Atorsaph,Diakon MR,u
Remicade,Symdex-D Forte,u
Myrevit-B Forte,Hinuron-E,u
Transmetil,Docxol,u
Olzitec,Engerix B,u
Benace,Giran-16,u
Vancokin,Regivell,u
Torval-80,Tigilyn,u
Cortef-250,XOVIRAL,u
Ketomitab,Glocare Plus,u
Xephyra 30,Hematozol 50,u
Onecure,Floxsafe,u
Providol,Zeenate,u
Cerin-250,Geozit,u
Accetaxime,Klomif,u
Transderm-Nitro 5,Tiradol,u
Fevaxid DS 250,Multibet Plus,u
Norash,Kodex,u
Acrolim 0.1,Talafil,u
HAPI-C + Z,Metacartin,u
Livertiale,Histakon,u
Cavsamir,Naphcon-A,u
Norash,Propravest,u
EC-Vit,Duphalac,u
Ezz-C,Ketodix,u
Beralipids,Flazole,u
Zeenate,Fevaxid DS 250,u
ESSENCEE,Huanopril,u
Amikate,Monphevin,u
Enervon C,Qortisol,u
AFM,Roxxin,u
Eslo 20,Asvimol,u
Julitam I.V.,Mucoriz,u
Fendexi,Alsea-E,u
Zudicort,Floxsafe,u
Rabaphen,Ekosart,u
Asvent,RegiCee,u
Gotazo IV,Symdex-D Forte,u
Fedpain,Lotadim,u
Vesogen,Moxinova CV,u
Symdex-D Forte,Neo-Synalar 10,u
Saphciferol-2000,Urogen,u
Sulbacin 0.75,Rifoxane,u
Plogrel,Xafariv 15,u
Clavxytin,Clonisaph-Inf,u
Enervon C,Multibet Plus,u
Fedpain,Brexi 0.5,u
MON-G C,XOVIRAL,u
Hepamedica,Anifer,u
Hematozol 50,Saver Select,u
Zefifarm,Ambrogen,u
Apcee,Transmetil,u
Taksorbet,Tiradol,u
Pantopraz IV,Myrevit-B Forte,u
Asvent,Folironplex,u
Vancokin,Neurophrine,u
Prixanep-500,Glimesaph T4,u
Torval-80,Voltaren Emulgel 12 Hours,u
Parabufen,Olzitec,u
Roxxin,Telminex-80,u
Cistovent,Rotoket,u
Ursodynova 300,EC-Vit,u
Lotadim,Belara,u
Transmetil,Angimet,u
Piperwell,HES-130,u
Mentra 10,CEFTAMED,u
Rotoket,Arcimet,u
Olangem OD 20,Dilantin,u
Myrevit-B Forte,Ambrogen,u
Sildiaz,Omnicure-1,u
Risek 40,Aziro-500,u
GOMILLIN 500,Medzotam,u
Kodex,Neo-Synalar 10,u
Telday H 80/12.5,Biemefrin,u
Duphalac,Polyderm 4,u
Cosopt,Cefohab,u
Feona FZ,Robitussin EX,u
Flazole,Floxsafe,u
Ironse,Ceftris,u
Olandus ODT 5,Josilvite,u
Zantol,Voltaren Emulgel 12 Hours,u
MON-G C,Telday H 80/12.5,u
Astrofen,Zolvar,u
Piperwell,Zobexelle,u
Tres,Zudicort,u
Pneumocon 13,Vigadexa,u
Vigadexa,Hematozol 50,u
Symdex-D Forte,Cavsamir,u
Lox,Siderfol,u
Carbastal,Siderfol,u
Valcef,Dorexcef,u
Voriz,Prazkon,u
Latosil,Clopres,u
White Flower SR,Sulbacin 0.75,u
Voltaren Emulgel 12 Hours,Diabee,u
J-Tinib,Pantopraz IV,u
Ampic-500,Pneumocon 13,u
Neurophrine,Metacartin,u
Amlocare Plus,Pneumocon 13,u
Dorzodin Plus,Astrofen,u
Gabasyn,Taksorbet,u
Endosine,Rozuhil-20,u
Complivit Plus,Rixan 20,u
Dimetapp DM Cold and Cough Elixir (Colour Free),Ampic-500,u
Enervon C,Giran-16,u
Maxitron,Nutri-Aid,u
Folironplex,Insulyf-30/70 (Biphasic),u
Sanoxime,Cefitrene 100,u
Regivell,Bacracil,u
Sulbacin 0.75,Cefohab,u
Depamax,Cefohab,u
Cosimetz,Amlocare Plus,u
Pio-Source,Sanoxime,u
AMSUL,Prixanep-500,u
Fulzimed,Amlocare Plus,u
Gofuroxime,Glimesaph T4,u
Telday H 80/12.5,Prazkon,u
Platikon,Zylura 80,u
Rotoket,Tiradol,u
Procee Plus,Hepses,u
Prasusafe,Polynerv 1000,u
Milgesic Forte,Powermint,u
Anifer,Prazkon,u
Mucoriz,Valazyd AM 10/160,u
Saphmustin,Eslo 20,u
Zobexelle,Paraflu,u
Tazidem,SPIRE,u
Zolid Plus,Twinrix Adult,u
Histacort,Symdex-D Forte,u
Pregalife,Taksorbet,u
Epribenz-10,Avator,u
Pneumocon 13,Sitixime,u
Goxsime IV,EC-Vit,u
Martham,Xylocare,u
Vomivert,Belket,u
Maxi-Peel Solution No. 4,Omnicure-1,u
Histacort,HES-130,u
Maxi-Peel Solution No. 4,Pantin 40,u
Mupifer-C,Nebstyle 5,u
Dimetapp DM Cold and Cough Elixir (Colour Free),Bronchilax,u
Gompsul 750,Metdazid,u
Syngly-4,Lovaz,u
Medzotam,Robitussin EX,u
Naphcon-A,Rixan 20,u
Zithrovic,Fevaxid DS 250,u
Sildiaz,Mucoriz,u
Meditrexed-500,Ecolide,u
Geozit,XAMIOL,u
Flovidiazine,Normabrain-800,u
Clavaxie 312.5 DT,Dilantin,u
Axbin,Nature-E,u
Ceftris,Hepamedica,u
Dimetapp DM Cold and Cough Elixir (Colour Free),Sildiaz,u
Robitussin EX,Fedpain,u
Carbastal,Tylin,u
Cefiden,Tramicet,u
Zyrova 20,Feravin,u
Flazole,Simbrinza,u
Diakon MR,Acuvis,u
Cerox,Levesaph,u
Amikate,Pregalife,u
Pio-Source,SUREF,u
Bacracil,Ketodix,u
Levesaph,Genoxiclav,u
MON-G C,Hycortil,u
BRILIPAN-20,Pentaglobin,u
Zyrova 20,Colvan,u
Angimet,Mucoriz,u
J-Tinib,Metdazid,u
Piperwell,Alozure,u
Livertiale,Oxalivid 100,u
Maalum,Metacartin,u
Vomivert,Valcef,u
Relzin,Remicade,u
Anifer,Indirab,u
Obrex,Prasusafe,u
Profmax,Prazobac,u
Saphmirate-T50,Cavsamir,u
Saphmirate-T50,Atussin,u
Latosil,Kedar,u
EC-Vit,Saver Select,u
Mucolyptus,Udcapro,u
Enervon C,Ammocil,u
Multibet Plus,Acetyphil,u
Maalum,Onecure,u
Irbevex 300,Khrizcopan 10,u
Livamin,DIPP-4 PLUS,u
OTOFLOX,Hepamedica,u
Gem Pan 1000,Benace,u
Tiradol,White Flower SR,u
