x_1,x_2,t_1,t_2,label
micronase,microzide,maɪkɹoʊneɪs,maɪkɹoʊzaɪd,1
midodrine,midrin,mɪdədɹiːn,mɪdɹɪn,1
mifepristone,misoprostol,maɪfpɹɪstoʊn,mɪsɑːpɹɑːstəl,1
migalastat,miglustat,mɪgɐlæstæt,mɪgləstæt,1
minoxidil,minoxidin,mɪnəksɪdɪl,mɪnəksɪdɪn,1
miralax,mirapex,mɜːɹɐlæks,mɜːɹeɪpɛks,1
mitomycin,mitoxantrone,maɪɾəmaɪsɪn,maɪɾəksæntɹoʊn,1
mitoxantrone,mtx patch,maɪɾəksæntɹoʊn,ɛmtiːɛks pætʃ,1
morphine - non-concentrated oral liquid,morphine - oral liquid concentrate,mɔːɹfiːn nɑːŋkɑːnsəntɹeɪɾɪd oːɹəl lɪkwɪd,mɔːɹfiːn oːɹəl lɪkwɪd kɑːnsəntɹeɪt,1
motrin,neurontin,mɑːtɹɪn,nʊɹɹɔntɪn,1
ms contin,oxycontin,ɛmɛs kəntɪn,ɑːksɪkɔntɪn,1
mucinex,mucomyst,mjuːsaɪnɛks,mjuːkəmɪst,1
mucinex,mucinex allergy,mjuːsaɪnɛks,mjuːsaɪnɛks ælɚdʒi,1
mucinex d,mucinex dm,mjuːsaɪnɛks diː,mjuːsaɪnɛks diːɛm,1
nalbuphine,naloxone,nælbəfiːn,næləksoʊn,1
narcan,norcuron,nɑːɹkæn,noːɹkjʊɹɹən,1
navane,norvasc,næveɪn,noːɹvæsk,1
neo-synephrine,neo-synephrine,niːoʊsaɪnɪfɹiːn,niːoʊsaɪnɪfɹiːn,1
neo-synephrine,neostigmine,niːoʊsaɪnɪfɹiːn,niːoʊstɪgmaɪn,1
neratinib,nilotinib,nɛɹɐtɪnɪb,naɪlətɪnɪb,1
neratinib,niraparib,nɛɹɐtɪnɪb,nɜːɹɐpæɹɪb,1
neulasta,neumega,nuːlæstə,nuːmɛgə,1
neulasta,nuedexta,nuːlæstə,nuːdɛkstə,1
neumega,neupogen,nuːmɛgə,nuːpədʒən,1
neurontin,noroxin,nʊɹɹɔntɪn,noːɹəksɪn,1
nexavar,nexium,nɛksɐvɑːɹ,niːksiəm,1
nicardipine,nifedipine,nɪkɑːɹdɪpaɪn,naɪfdɪpaɪn,1
nicardipine,nimodipine,nɪkɑːɹdɪpaɪn,nɪmədɪpaɪn,1
nifedipine,nimodipine,naɪfdɪpaɪn,nɪmədɪpaɪn,1
nilotinib,niraparib,naɪlətɪnɪb,nɜːɹɐpæɹɪb,1
nizatidine,tizanidine,nɪzɐtɪdiːn,tɪzɐnɪdiːn,1
normodyne,norpramin,noːɹmədaɪn,noːɹpɹɐmɪn,1
novolin,novolog,nɑːvəlɪn,nɑːvəlɑːg,1
novolin 70/30,novolog mix 70/30,nɑːvəlɪn sɛvənti slæʃ θɜːɾi,nɑːvəlɑːg mɪks sɛvənti slæʃ θɜːɾi,1
novolog flexpen,novolog mix 70/30 flexpen,nɑːvəlɑːg flɛkspən,nɑːvəlɑːg mɪks sɛvənti slæʃ θɜːɾi flɛkspən,1
occlusal-hp,ocuflox,əkluːzəleɪtʃpiː,ɑːkəflɑːks,1
olanzapine,quetiapine,ɑːlænzɐpaɪn,kwɛʃɪæpaɪn,1
opium tincture,paregoric,oʊpiəm tɪŋktʃɚ,pɛɹgɔːɹɪk,1
oracea,orencia,oːɹeɪsiə,ɔːɹɛnʃə,1
ortho tri-cyclen,ortho tri-cyclen lo,ɔːɹθoʊ tɹaɪsaɪklən,ɔːɹθoʊ tɹaɪsaɪklən loʊ,1
oxaprozin,oxcarbazepine,ɑːksɐpɹɑːzɪn,ɑːkskɑːɹbeɪzpaɪn,1
oxybutynin,oxycodone,ɑːksɪbjuːtɪnɪn,ɑːksɪkɑːdoʊn,1
oxybutynin,oxycontin,ɑːksɪbjuːtɪnɪn,ɑːksɪkɔntɪn,1
oxybutynin,oxymorphone,ɑːksɪbjuːtɪnɪn,ɑːksɪmoːɹfoʊn,1
oxycodone,oxycontin,ɑːksɪkɑːdoʊn,ɑːksɪkɔntɪn,1
oxycodone,oxymorphone,ɑːksɪkɑːdoʊn,ɑːksɪmoːɹfoʊn,1
oxycontin,oxymorphone,ɑːksɪkɔntɪn,ɑːksɪmoːɹfoʊn,1
oxycontin,oxytocin,ɑːksɪkɔntɪn,ɑːksɪtɑːsɪn,1
paclitaxel,paclitaxel protein-bound particles,pæklɪtæksəl,pæklɪtæksəl pɹoʊtiːnbaʊnd pɑːɹɾɪkəlz,1
pamelor,panlor dc,peɪmlɚ,pænlɚ diːsiː,1
pamelor,tambocor,peɪmlɚ,tæmbɑːkɚ,1
paroxetine,piroxicam,pæɹəksɛtiːn,pɪɹəksɪkæm,1
patanol,platinol,pætɐnɑːl,plætɪnɑːl,1
pavulon,peptavlon,pævjʊlən,pɛptævlən,1
paxil,plavix,pæksɪl,plævɪks,1
paxil,taxol,pæksɪl,tæksɑːl,1
paxil,trexall,pæksɪl,tɹɛksɔːl,1
pazopanib,ponatinib,pæzəpænɪb,pɑːnɐtɪnɪb,1
pemetrexed,pralatrexate,pɛmiːɾɚkst,pɹælɐtɹɛkseɪt,1
penicillamine,penicillin,pɛnɪsɪlɐmiːn,pɛnɪsɪlɪn,1
pentobarbital,phenobarbital,pɛntəbɑːɹbɪɾəl,fɛnəbɑːɹbɪɾəl,1
percocet,procet,pɜːkɑːsɪt,pɹɑːsɪt,1
physostigmine,pyridostigmine,faɪsəstɪgmaɪn,pɪɹɪdɑːstɪgmaɪn,1
pitocin,pitressin,pɪɾəsɪn,pɪtɹɪsɪn,1
plavix,pradax,plævɪks,pɹædæks,1
plavix,pradaxa,plævɪks,pɹædæksə,1
pneumococcal 7-valent vaccine,pneumococcal polyvalent vaccine,nuːməkɑːkəl sɛvənveɪlənt væksiːn,nuːməkɑːkəl pɑːlɪveɪlənt væksiːn,1
polyethylene glycol,propylene glycol,pɑːlɪɛθɪliːn glaɪkɑːl,pɹoʊpəliːn glaɪkɑːl,1
potassium acetate,sodium acetate,pətæsiəm æsɪteɪt,soʊdiəm æsɪteɪt,1
pralidoxime,pyridoxine,pɹælɪdɑːksaɪm,pɪɹɪdɑːksaɪn,1
precare,precose,pɹɪkɛɹ,pɹiːkoʊs,1
prednisolone,prednisone,pɹɪdnɪsəloʊn,pɹɪdnɪsoʊn,1
prenexa,ranexa,pɹɪnɛksə,ɹeɪŋksə,1
prilosec,pristiq,pɹɪloʊsək,pɹɪstɪk,1
prilosec,prozac,pɹɪloʊsək,pɹɑːzæk,1
probenecid,procanbid,pɹoʊbnɪsɪd,pɹɑːkɐnbɪd,1
procan sr,procanbid,pɹɑːkən ɛsɑːɹ,pɹɑːkɐnbɪd,1
procardia xl,protain xl,pɹəkɑːɹdiə ɛksɛl,pɹoʊteɪn ɛksɛl,1
prograf,proscar,pɹoʊgɹæf,pɹəskɑːɹ,1
prograf,prozac,pɹoʊgɹæf,pɹɑːzæk,1
propylthiouracil,purinethol,pɹoʊpəlθjɚɹæsɪl,pjʊɹɹaɪnθɑːl,1
proscar,provera,pɹəskɑːɹ,pɹɑːvɚɹə,1
protamine,protonix,pɹoʊɾɐmiːn,pɹoʊtənɪks,1
provera,prozac,pɹɑːvɚɹə,pɹɑːzæk,1
pyridium,pyridoxine,pɪɹɪdiəm,pɪɹɪdɑːksaɪn,1
pyridostigmine,pyridoxine,pɪɹɪdɑːstɪgmaɪn,pɪɹɪdɑːksaɪn,1
quinidine,quinine,kwɪnɪdiːn,kwɪnaɪn,1
ranitidine,rimantadine,ɹænɪtɪdiːn,ɹɪmɐntædiːn,1
rapaflo,rapamune,ɹæpæfloʊ,ɹæpɐmjuːn,1
rasageline,repaglinide,ɹæseɪdʒlaɪn,ɹɪpæglɪnaɪd,1
razadyne,rozerem,ɹæzɐdaɪn,ɹoʊzɹəm,1
remeron,rozerem,ɹɪmɜːɹən,ɹoʊzɹəm,1
reminyl,robinul,ɹɪmɪnaɪl,ɹɑːbɪnʌl,1
renagel,renvela,ɹɪneɪdʒəl,ɹɛnvɛlə,1
reprexain,zyprexa,ɹɪpɹɛkseɪn,zɪpɹɛksə,1
restoril,risperdal,ɹɪstoːɹəl,ɹɪspɜːdəl,1
retrovir,ritonavir,ɹɛtɹoʊvɜː,ɹɪtənævɪɹ,1
ribavirin,riboflavin,ɹɪbɐvɪɹɪn,ɹɪbəflævɪn,1
rifabutin,rifapentine,ɹɪfɐbjuːtɪn,ɹɪfeɪpɛntiːn,1
rifadin,rifater,ɹɪfɐdɪn,ɹɪfeɪɾɚ,1
rifamate,rifampin,ɹɪfɐmeɪt,ɹɪfɐmpɪn,1
rifampin,rifaximin,ɹɪfɐmpɪn,ɹɪfɐksɪmɪn,1
risperdal,ropinirole,ɹɪspɜːdəl,ɹəpɪnɪɹoʊl,1
risperidone,ropinirole,ɹɪspɚɹɪdoʊn,ɹəpɪnɪɹoʊl,1
ritalin,ritodrine,ɹɪɾɐlɪn,ɹɪɾədɹiːn,1
ritalin la,ritalin sr,ɹɪɾɐlɪn læ,ɹɪɾɐlɪn ɛsɑːɹ,1
rituxan,rituxan hycela,ɹɪɾʌksən,ɹɪɾʌksən haɪsɛlə,1
rocuronium,romazicon,ɹɑːkjʊɹɹoʊniəm,ɹɑːmɐzɪkən,1
romidepsin,romiplostim,ɹɑːmaɪdpsɪn,ɹɑːmɪplɑːstɪm,1
roxanol,roxicet,ɹɑːksɐnɑːl,ɹɑːksɪsɪt,1
roxanol,roxicodone intensol,ɹɑːksɐnɑːl,ɹɑːksɪkɑːdoʊn ɪntɛnsɑːl,1
salagen,selegiline,sælədʒən,sɛlɪdʒɪliːn,1
sandimmune,sandostatin,sændɪmjuːn,sændəstætɪn,1
saquinavir,sinequan,sækwɪnævɪɹ,saɪŋkwən,1
saquinavir,saquinavir mesylate,sækwɪnævɪɹ,sækwɪnævɪɹ mɛsɪleɪt,1
sarafem,serophene,sæɹəfəm,sɛɹəfiːn,1
saxagliptin,sitagliptin,sæksɐglɪptɪn,sɪɾɐglɪptɪn,1
seroquel,seroquel xr,sɛɹɑːkwəl,sɛɹɑːkwəl ɛksɑːɹ,1
seroquel,serzone,sɛɹɑːkwəl,sɜːzoʊn,1
seroquel,sinequan,sɛɹɑːkwəl,saɪŋkwən,1
sertraline,soriatane,sɜːtɹəlaɪn,soːɹɪæteɪn,1
silodosin,sirolimus,saɪlədɑːsɪn,sɪɹəlɪməs,1
sinequan,singulair,saɪŋkwən,sɪŋgjʊlɛɹ,1
sinequan,zeniquin,saɪŋkwən,zɛnɪkwɪn,1
sinequan,zonegran,saɪŋkwən,zoʊŋgɹən,1
sitagliptin,sumatriptan,sɪɾɐglɪptɪn,suːmɐtɹɪptən,1
slynd,syeda,slaɪnd,sɪɛdə,1
solu-cortef,solu-medrol,sɑːluːkɔːɹɾɛf,sɑːluːmɛdɹɑːl,1
sonata,soriatane,sənɑːɾə,soːɹɪæteɪn,1
sorafenib,sunitinib,soːɹeɪfnɪb,sjuːnɪtɪnɪb,1
sotalol,sudafed,soʊɾɐlɑːl,suːdeɪft,1
spravato,steglatro,spɹævɑːɾoʊ,stɛglætɹoʊ,1
sudafed,sudafed pe,suːdeɪft,suːdeɪft piː,1
sudafed 12 hour,sudafed 12 hour pressure + pain,suːdeɪft twɛlv aʊɚ,suːdeɪft twɛlv aʊɚ pɹɛʃɚ plʌs peɪn,1
sulfadiazine,sulfasalazine,sʌlfeɪdɪɐziːn,sʌlfeɪzælɐziːn,1
sulfadiazine,sulfisoxazole,sʌlfeɪdɪɐziːn,sʌlfɪsɑːksɐzoʊl,1
sumatriptan,zolmitriptan,suːmɐtɹɪptən,zɑːlmɪtɹɪptən,1
tacrolimus,tamsulosin,tækɹəlɪməs,tæmsuːlɑːsɪn,1
talquetamab-tgvs,teclistamab-cqyv,tælkwɪtæmæbtiːdʒiːviːɛs,tɛklɪstæmæbsiːkɪv,1
talvey,tecvayli,tælveɪ,tɛkveɪli,1
tanzeum,toujeo,tænziːəm,taʊdʒɪoʊ,1
tanzeum,tradjenta,tænziːəm,tɹædʒɛntə,1
tanzeum,tresiba,tænziːəm,tɹɛzɪbə,1
tanzeum,trulicity,tænziːəm,tɹuːlɪsɪɾi,1
tarceva,tresiba,tɑːɹsɛvə,tɹɛzɪbə,1
taxol,taxotere,tæksɑːl,tæksoʊɾɚ,1
tegretol,tegretol xr,tɛgɹɪtɑːl,tɛgɹɪtɑːl ɛksɑːɹ,1
tegretol,tequin,tɛgɹɪtɑːl,tɛkwɪn,1
tegretol,trental,tɛgɹɪtɑːl,tɹɛntəl,1
tenex,xanax,tɛnɛks,zænæks,1
tequin,ticlid,tɛkwɪn,tɪklɪd,1
terbinafine,terbutaline,tɜːbɪnæfaɪn,tɜːbjuːɾəlaɪn,1
testoderm,testoderm tts,tɛstoʊdɜːm,tɛstoʊdɜːm tiːtiːɛs,1
testoderm,testoderm with adhesive,tɛstoʊdɜːm,tɛstoʊdɜːm wɪð ɐdhiːsɪv,1
testoderm tts,testoderm with adhesive,tɛstoʊdɜːm tiːtiːɛs,tɛstoʊdɜːm wɪð ɐdhiːsɪv,1
tetanus diptheria toxoid,tuberculin purified protein derivative,tɛtənəs dɪpθɜːɹiə tɑːksɔɪd,tuːbɚkjʊlɪn pjʊɹɹɪfaɪd pɹoʊtiːn dɪɹɪvətɪv,1
thalomid,thiamine,θæləmɪd,θaɪəmaɪn,1
thrombate iii,thrombin topical,θɹɑːmbeɪt ɹoʊmən θɹiː,θɹɑːmbɪn tɑːpɪkəl,1
tiagabine,tizanidine,tiːəgæbaɪn,tɪzɐnɪdiːn,1
tiazac,ziac,tiːəzæk,zaɪək,1
tnkase,t-pa,tiːɛŋkeɪs,tiːpɑː,1
tobradex,tobrex,tɑːbɹeɪdɛks,tɑːbɹɛks,1
tolazamide,tolbutamide,tɑːlɐzæmaɪd,tɑːlbjuːtæmaɪd,1
topamax,toprol-xl,tɑːpɐmæks,tɑːpɹɑːlɛksɛl,1
toujeo,tradjenta,taʊdʒɪoʊ,tɹædʒɛntə,1
toujeo,tresiba,taʊdʒɪoʊ,tɹɛzɪbə,1
toujeo,trulicity,taʊdʒɪoʊ,tɹuːlɪsɪɾi,1
tracleer,tricor,tɹæklɪɹ,tɹaɪkɚ,1
tradjenta,tresiba,tɹædʒɛntə,tɹɛzɪbə,1
tradjenta,trulicity,tɹædʒɛntə,tɹuːlɪsɪɾi,1
tramadol,trazodone,tɹæmɐdɑːl,tɹæzədoʊn,1
tresiba,trulicity,tɹɛzɪbə,tɹuːlɪsɪɾi,1
tromethamine,trophamine,tɹoʊmθɐmiːn,tɹɑːfɐmiːn,1
tylenol,tylenol pm,taɪlənɑːl,taɪlənɑːl piːɛm,1
valacyclovir,valganciclovir,vælɐsaɪkləvɪɹ,vælgɐnsɪkləvɪɹ,1
valcyte,valtrex,vælsaɪt,væltɹɛks,1
varivax,vzig,vɑːɹɹɪvæks,viːzɪg,1
venofer,vfend,vɛnoʊfɚ,viːfɛnd,1
venofer,vimpat,vɛnoʊfɚ,vɪmpæt,1
vesanoid,vesicare,vɛsɐnɔɪd,vɛsɪkɛɹ,1
vesicare,vessel care,vɛsɪkɛɹ,vɛsəl kɛɹ,1
vexol,vosol,vɛksɑːl,vɑːsɑːl,1
vfend,vimpat,viːfɛnd,vɪmpæt,1
vicodin,visicol,vaɪkədɪn,vɪsɪkɑːl,1
vinblastine,vincristine,vɪnblɐstiːn,vɪŋkɹɪstiːn,1
viokase,viokase 8,vaɪəkeɪs,vaɪəkeɪs eɪt,1
vioxx,zyvox,vaɪɑːks,zaɪvɑːks,1
viracept,viramune,vɜːɹeɪsəpt,vɜːɹɐmjuːn,1
viramune,viramune,vɜːɹɐmjuːn,vɜːɹɐmjuːn,1
volumen,voluven,vɑːljuːmɛn,vɑːluːvən,1
wellbutrin sr,wellbutrin xl,wɛlbjuːtɹɪn ɛsɑːɹ,wɛlbjuːtɹɪn ɛksɛl,1
xanax,zantac,zænæks,zæntæk,1
xeloda,xenical,zɛloʊdə,zɛnɪkəl,1
yasmin,yaz,jæzmɪn,jæz,1
zantac,zantac 360,zæntæk,zæntæk θɹiːhʌndɹɪd sɪksti,1
zantac,zyrtec,zæntæk,zɪətɛk,1
zavesca,zavesca,zeɪvskə,zeɪvskə,1
zebeta,zetia,zɛbɛɾə,zɛʃə,1
zegerid,zestril,zɛdʒɚɹɪd,zɛstɹəl,1
zelapar,zyprexa zydis,zɛlɐpɑːɹ,zɪpɹɛksə zaɪdiz,1
zemplar,zemuron,zɛmplɚ,ziːmjʊɹɹən,1
zerit,zyrtec,zɛɹɪt,zɪətɛk,1
zestril,zetia,zɛstɹəl,zɛʃə,1
zestril,zyprexa,zɛstɹəl,zɪpɹɛksə,1
zocor,zyrtec,zɑːkɚ,zɪətɛk,1
zolpidem,zyloprim,zɑːlpaɪdəm,zaɪlɑːpɹɪm,1
zostrix,zovirax,zɑːstɹɪks,zɑːvɚɹæks,1
zovirax,zyvox,zɑːvɚɹæks,zaɪvɑːks,1
zyprexa,zyrtec,zɪpɹɛksə,zɪətɛk,1
zyrtec,zyrtec-d,zɪətɛk,zɪətɛkdiː,1
zyrtec,zyrtec itchy eye drops,zɪətɛk,zɪətɛk ɪtʃi aɪ dɹɑːps,1
