x_1,t_1,x_2,t_2,label
roysal,ɹɔɪsəl,rosan,ɹɑːsən,1
muldezar,mʌldɪzɑːɹ,lifezar,laɪfzɑːɹ,1
neuromard,nʊɹɹəmɑːɹd,neuromed,nʊɹɹɑːmd,1
perazovic,pɛɹɐzɑːvɪk,eraze,ɪɹeɪz,1
salrite,sælɹaɪt,salmate,sælmeɪt,1
param iv,pæɹəm ɹoʊmən fɔːɹ,param,pæɹəm,1
welltrate,wɛltɹeɪt,caltrate advance,kæltɹeɪt ɐdvæns,1
mioclof,mɪɑːklɑːf,diclofen 50,dɪkloʊfən fɪfti,1
omecore,oʊmkɔːɹ,omecare,oʊmkɛɹ,1
melanov mr 30,mɛlɐnɑːv mɪstɚ θɜːɾi,melanov m od,mɛlɐnɑːv ɛm ɑːd,1
sharjvax,ʃɑːɹdʒvæks,shafurox,ʃæfjʊɹɹɑːks,1
montior l,mɔntjɚɹ ɛl,montair,mɔntɛɹ,1
nax d,næks diː,acce d forte,ɐksi diː fɔːɹɾeɪ,1
metocol,mɛɾəkɑːl,medicol,mɛdɪkɑːl,1
aizerone,aɪzɚɹoʊn,aizet,aɪzɪt,1
lidocaine hydrochloride epinephrine as bitartrate,lɪdəkeɪn haɪdɹəklɔːɹaɪd ɛpɪnɛfɹiːn æz baɪtɑːɹtɹeɪt,clindamycin as hydrochloride,klɪndɐmaɪsɪn æz haɪdɹəklɔːɹaɪd,1
salveo odt,sælvɪoʊ ɑːt,salveo,sælvɪoʊ,1
valzepam,væltsɪpæm,vazemia,veɪziːmiə,1
conpanzole,kənpænzoʊl,donprazole,dɑːnpɹɐzoʊl,1
aubrex,ɔːbɹɛks,flubrex,flʌbɹɛks,1
newmacdol,nuːmɐkdɑːl,femadol,fɛmɐdɑːl,1
clindacare,klɪndɐkɛɹ,clindarene,klɪndɐɹɛn,1
aceamen 500,ɐsiːmɛn faɪvhʌndɹɪd,varcelan 500,vɑːɹsɪlæn faɪvhʌndɹɪd,1
multizine,mʌltɪziːn,multizee,mʌltiziː,1
domperone,dɑːmpɚɹoʊn,domper,dɑːmpɚ,1
optinova,ɑːptɪnoʊvə,clopinova,klɑːpɪnoʊvə,1
xygyn,zaɪdʒɪn,xydon,zaɪdɑːn,1
paranat,pæɹənæt,abiranat,æbɚɹænæt,1
gaviscon double action,gævɪskən dʌbəl ækʃən,avicon,ævɪkən,1
st martin,sənt mɑːɹtɪn,cortin,kɔːɹtɪn,1
omepors,oʊmpɚz,omeprastar 20,oʊmpɹɐstɑːɹ twɛnti,1
tazomed 25,tæzəmd twɛnti faɪv,torval h 160 25,tɔːɹvəl eɪtʃ wʌnhʌndɹɪd sɪksti twɛnti faɪv,1
oxanova,ɑːksɐnoʊvə,floxanova 750,flɑːksɐnoʊvə sɛvənhʌndɹɪd fɪfti,1
mioclof,mɪɑːklɑːf,diclofam,dɪkləfæm,1
teli 80,tɛli eɪɾi,amplify 80 10,æmplɪfaɪ eɪɾi tɛn,1
welltrate,wɛltɹeɪt,azentrate,eɪzəntɹeɪt,1
robitussin,ɹɑːbaɪtʌsɪn,pertussin,pɚtʌsɪn,1
berrydazole,bɛɹɪdæzoʊl,fadzole,fædzoʊl,1
vilomet 500,vaɪlɑːmɪt faɪvhʌndɹɪd,metsaphtin 50 500,mɛtsɐftɪn fɪfti faɪvhʌndɹɪd,1
clavorilz,klævɔːɹɪlz,voriz,vɔːɹɪz,1
maxidine,mæksɪdiːn,dermaxidine,dɜːmɐksɪdiːn,1
amnoset,æmnəsɛt,ambroset,æmbɹəsɛt,1
fozal,foʊzəl,epinozal od 10,ɛpɪnɑːzəl ɑːd tɛn,1
irbekon,ɜːbɛkən,pyrekon,paɪɹɛkən,1
biopril,baɪoʊpɹɪl,emlopril,ɛmlɑːpɹəl,1
saphcisin 100,sæfsɪsɪn wʌnhʌndɹɪd,saphcisin 200,sæfsɪsɪn tuːhʌndɹɪd,1
fentyn,fɛntɪn,fenitin,fɛnɪtɪn,1
allutamide,ɐluːɾɐmaɪd,tramide,tɹæmaɪd,1
amgathran 150,æmgæθɹən wʌnhʌndɹɪd fɪfti,arthran,ɑːɹθɹən,1
blatin 50,bleɪtɪn fɪfti,metsaphtin 50 1000,mɛtsɐftɪn fɪfti wʌn θaʊzənd,1
diprolene,dɪpɹoʊliːn,diprosone,dɪpɹəsoʊn,1
cloxin,klɑːksɪn,cloxil,klɑːksɪl,1
rapidon,ɹæpɪdən,aspidon,æspɪdən,1
pocym 250,pɑːsɪm tuːhʌndɹɪd fɪfti,polynerv 250 zinc 20,pɑːlɪnɜːv tuːhʌndɹɪd fɪfti zɪŋk twɛnti,1
caxetil,kæksɪtɪl,laxedil,læksɪdɪl,1
folicard,fɑːlɪkɑːɹd,folik,fɑːlɪk,1
aviar,eɪvɪɑːɹ,viartril s,vaɪɚtɹəl ɛs,1
aizerone,aɪzɚɹoʊn,aizene,aɪziːn,1
gasmodic,gæzmɑːdɪk,mobic,moʊbɪk,1
esonex iv,ɛsoʊnɛks ɹoʊmən fɔːɹ,essox,ɛsɑːks,1
oranair plus,ɔːɹɐnɛɹ plʌs,medifortan c plus zinc,mɛdɪfɔːɹtən siː plʌs zɪŋk,1
rivanex 20,ɹɪveɪnɛks twɛnti,rivazest 20,ɹɪveɪzɪst twɛnti,1
aerinex,ɛɹaɪnɛks,acernix,ɐsɜːnɪks,1
exerta,ɛgzɜːɾə,rexta,ɹɪkstæ,1
rainoxone,ɹeɪnəksoʊn,trioxone,tɹaɪəksoʊn,1
macromycin,mækɹəmaɪsɪn,bacrocin,bækɹəsɪn,1
aceamen 500,ɐsiːmɛn faɪvhʌndɹɪd,cetagen 500,sɛɾədʒən faɪvhʌndɹɪd,1
berrydazole,bɛɹɪdæzoʊl,bestdazole,bɪstdæzoʊl,1
mioclof,mɪɑːklɑːf,micofred,mɪkɑːfɹɪd,1
vaxol,væksɑːl,broncho vaxom,bɹɑːŋkoʊ væksəm,1
praxolin 150,pɹæksəlɪn wʌnhʌndɹɪd fɪfti,praxid,pɹæksɪd,1
nerveplex ae,nɜːvɪplɛks eɪiː,nerv e,nɜːv iː,1
o gold 20,oʊ goʊld twɛnti,preven z gold na,pɹɪvɛn ziː goʊld nɑː,1
adrepine,ɐdɹɛpaɪn,adreprez,ɐdɹɛpɹɛz,1
combifen,kəmbaɪfən,combiver,kəmbɪvɚ,1
glixa,glɪksə,elixaban,ɪlɪksæbən,1
ampisaph 500,æmpɪsæf faɪvhʌndɹɪd,azisaph 500,æzɪsæf faɪvhʌndɹɪd,1
lifemet,laɪfmɪt,lifetan,laɪftən,1
kaptroban,kæptɹɑːbən,atropan,ætɹəpæn,1
aubrex,ɔːbɹɛks,novabrex 200,noʊvəbɹɛks tuːhʌndɹɪd,1
amlogen,æmlədʒən,amlodn,æmlɑːdən,1
osteomeg,ɑːstɪoʊməg,osteomol,ɑːstɪɑːmɑːl,1
curocent,kjʊɹɹoʊsənt,profocent,pɹɑːfoʊsənt,1
gentagem,dʒɛnteɪdʒəm,gentameed,dʒɛntɐmiːd,1
pocym 250,pɑːsɪm tuːhʌndɹɪd fɪfti,goxycholic 250,gɑːksɪkɑːlɪk tuːhʌndɹɪd fɪfti,1
kalomin s,kæləmɪn ɛs,kremil s for export only,kɹɛmɪl ɛs fɔːɹ ɛkspɔːɹt oʊnli,1
flulon,fluːlɑːn,fluonazole,fljuːənæzoʊl,1
cosimetz,kɑːsaɪməts,doximetz,dɑːksaɪməts,1
immubulin,ɪmjuːbjʊlɪn,immuzinc,ɪmjuːzɪŋk,1
norphed,nɔːɹft,noriphed,nɔːɹɪft,1
finaplasia 1,faɪnɐpleɪʒə wʌn,envira 1,ɛnviəɹə wʌn,1
giomox,dʒɪɑːmɑːks,ginox,dʒɪnɑːks,1
iztam 45,ɪztæm fɔːɹɾi faɪv,pipzotam 45,pɪpzətæm fɔːɹɾi faɪv,1
dsinfex,diːsɪnfɛks,drinex,dɹaɪnɛks,1
nerveplex ae,nɜːvɪplɛks eɪiː,nervaplex,nɜːvɐplɛks,1
retapenem,ɹɪteɪpnəm,mepenem,mɛpɛnəm,1
levollen,lɛvɑːlən,dexollen,dɛksɑːlən,1
blatin 50,bleɪtɪn fɪfti,blatin 10,bleɪtɪn tɛn,1
saphtriaxone sb,sæftɹɪæksoʊn ɛsbiː,saphtriaxone,sæftɹɪæksoʊn,1
sevomond,sɛvɑːmənd,levomont,lɛvəmɔnt,1
nicardilex,nɪkɑːɹdaɪlɛks,nicardize,nɪkɚdaɪz,1
cytamax 100,saɪɾɐmæks wʌnhʌndɹɪd,cymta,sɪmtə,1
alprazitel,ælpɹeɪzɪɾəl,alprazolam,ælpɹɐzɑːlæm,1
o gold 20,oʊ goʊld twɛnti,c cure max gold,siː kjʊɹ mæks goʊld,1
tribacef,tɹaɪbeɪsəf,triacef,tɹaɪeɪsəf,1
celeb 200,sɛlɛb tuːhʌndɹɪd,celbex 200,sɛlbɛks tuːhʌndɹɪd,1
iopamedix,aɪəpeɪmdɪks,olamedix,ɑːleɪmdɪks,1
melanov mr 30,mɛlɐnɑːv mɪstɚ θɜːɾi,melanov mr 60,mɛlɐnɑːv mɪstɚ sɪksti,1
efergen,ɛfɚdʒən,feragen plus cap,fɛɹədʒən plʌs kæp,1
allase,æleɪz,allecur d,ɐlɛkɜː diː,1
cosimetz,kɑːsaɪməts,calsimet,kælsɪmɪt,1
moxidin,mɑːksɪdɪn,amoxden,æmɑːksdən,1
extreme c,ɛkstɹiːm siː,c cure max gold,siː kjʊɹ mæks goʊld,1
metsaphtin 50 850,mɛtsɐftɪn fɪfti eɪthʌndɹɪd fɪfti,metsaphtin 50 500,mɛtsɐftɪn fɪfti faɪvhʌndɹɪd,1
medglor 90,mɛdʒlɚ naɪnti,medrol,mɛdɹɑːl,1
metrex,miːɾɚks,motirex,moʊɾaɪɚks,1
actyl 100,æktaɪl wʌnhʌndɹɪd,actyl,æktaɪl,1
mednosetron,mɛdnoʊstɹɑːn,nostero,nəstɛɹoʊ,1
fusidasol,fjuːsɪdæsɑːl,auspidol,ɔːspɪdɑːl,1
clindavint,klɪndɐvɪnt,clindavest,klɪndeɪvɪst,1
neuromard,nʊɹɹəmɑːɹd,neurofed,nʊɹɹoʊft,1
maxidine,mæksɪdiːn,moxidin,mɑːksɪdɪn,1
zevelatab,zɛvɪlæɾæb,zevlar,zɛvlɚ,1
myelax,maɪɪlæks,dylax,daɪlæks,1
boost,buːst,neuboost,nuːbuːst,1
c flam,siː flæm,brilliant c pluz,bɹɪliənt siː plʌz,1
clonisaph 75,klɑːnɪsæf sɛvənti faɪv,clonisur,klɑːnɪsɜː,1
ephalox,ɛfɐlɑːks,aloxi,ɐlɑːksi,1
asmagen,ɐsmeɪdʒən,asmaler,ɐsmeɪlɚ,1
cilvex,sɪlvɛks,escivex 5,ɛsɪvɛks faɪv,1
dexmer,dɛksmɚ,dexmed,dɛksəmd,1
vistachlor,vɪstɐklɔːɹɚ,vistacom,vɪstɐkɑːm,1
teno em,tiːnoʊ ɛm,enom,iːnəm,1
saphcisin 100,sæfsɪsɪn wʌnhʌndɹɪd,saphcisin 125,sæfsɪsɪn wʌnhʌndɹɪd twɛnti faɪv,1
prolipidz,pɹɑːlɪpɪdz,prolia,pɹoʊliə,1
rapid c plus d1000,ɹæpɪd siː plʌs diː wʌn θaʊzənd,ad c plus,æd siː plʌs,1
dolan fp,dɑːlæn ɛfpiː,olan,oʊlæn,1
combe five,kəmɛ faɪv,b com,biː kɑːm,1
ximvex,zɪmvɛks,ximex,zaɪmɛks,1
febsan 120,fɛbsən wʌnhʌndɹɪd twɛnti,febsan 40,fɛbsən fɔːɹɾi,1
relidomide 15,ɹɪlɪdəmaɪd fɪftiːn,relidomide 75,ɹɪlɪdəmaɪd sɛvənti faɪv,1
clonisaph 75,klɑːnɪsæf sɛvənti faɪv,clotrisaph,klɑːtɹɪsæf,1
muprivex,mʌpɹɪvɛks,noxprivex,nɑːkspɹɪvɛks,1
robitussin,ɹɑːbaɪtʌsɪn,biotuss,baɪoʊtʌs,1
greenxime,gɹiːŋksaɪm,gixime,dʒɪksaɪm,1
uricobles 40,jʊɹɹɪkɑːbəlz fɔːɹɾi,eso 40,iːsoʊ fɔːɹɾi,1
febuhil,fɛbjuːhɪl,cefuhil,sɛfjuːhɪl,1
cafgard forte,kæfgɑːɹd fɔːɹɾeɪ,forteo,fɔːɹɾɪoʊ,1
levollen,lɛvɑːlən,levocent,lɛvoʊsənt,1
migco,mɪgkoʊ,diamicron mr,daɪəmaɪkɹɑːn mɪstɚ,1
yulareb,juːlɛɹb,klarex,klɛɹks,1
imbruvica,ɪmbɹuːvɪkə,vitruvia,vɪtɹuːviə,1
sitplixin 100,sɪtplɪksɪn wʌnhʌndɹɪd,plaxin,plæksɪn,1
hikacure,hɪkɐkjʊɹ,clindacure,klɪndɐkjʊɹ,1
ramitob,ɹæmɪtɑːb,ramipro,ɹæmɪpɹoʊ,1
migco,mɪgkoʊ,glomicol,glɑːmɪkɑːl,1
herperax,hɜːpɚɹæks,hepravasc 5000,hɛpɹɐvæsk faɪv θaʊzənd,1
pure cee,pjʊɹ siː,pure ceez capsule,pjʊɹ siːz kæpsjuːl,1
clavtri 625,klævtɹi sɪkshʌndɹɪd twɛnti faɪv,clavistan 625,klævɪstæn sɪkshʌndɹɪd twɛnti faɪv,1
conpanzole,kənpænzoʊl,apzole,ɐpzoʊl,1
neopel,niːoʊpɛl,neophen,niːoʊfən,1
hikacure,hɪkɐkjʊɹ,clacure,klækjʊɹ,1
gloww e,gloʊwə iː,love supplements glow e,lʌv sʌplɪmənts gloʊ iː,1
robitussin sinus relief,ɹɑːbaɪtʌsɪn saɪnəs ɹɪliːf,robitussin dx,ɹɑːbaɪtʌsɪn diːɛks,1
tracrium,tɹækɹiəm,dynacurium,daɪnɐkjʊɹɹiəm,1
pacitel 30,pæsɪɾəl θɜːɾi,pacitel 260,pæsɪɾəl tuːhʌndɹɪd sɪksti,1
suncetin tab,sʌnsɪtɪn tæb,cerin,sɛɹɪn,1
altacar,ɔːltɐkɑːɹ,lalaca,lælɑːkə,1
telmiheart 40,tɛlmɪhɑːɹt fɔːɹɾi,lomoh 40,lɑːmoʊ fɔːɹɾi,1
kalomin s,kæləmɪn ɛs,glik s,glɪk ɛs,1
prohexon 300,pɹoʊhɛksən θɹiːhʌndɹɪd,prolohex,pɹɑːloʊhɛks,1
mioclof,mɪɑːklɑːf,medclof,mɛdklɑːf,1
hepabil,hɛpɐbɪl,hepabig,hɛpɐbɪg,1
dutasusaph,duːɾɐsuːsæf,duasaph 450,duːɐsæf fɔːɹhʌndɹɪd fɪfti,1
febuhil,fɛbjuːhɪl,febulitt,fɛbjʊlɪt,1
aizerone,aɪzɚɹoʊn,zeronem,ziəɹoʊnəm,1
sandostatin,sændəstætɪn,simvastatin,sɪmvɐstætɪn,1
pantrex,pæntɹɛks,pantec,pæntɛk,1
femostal 20,fɛmoʊstəl twɛnti,etostal 90,ɛɾɑːstəl naɪnti,1
norphed,nɔːɹft,orphen plus,ɔːɹfən plʌs,1
aerinex,ɛɹaɪnɛks,burinex,bɛɹaɪnɛks,1
newmacdol,nuːmɐkdɑːl,newmet,nuːmɪt,1
melifrin ds,mɛlɪfɹɪn diːɛs,melifrin,mɛlɪfɹɪn,1
nicarfree,nɪkɑːɹfɹiː,ticafred,tɪkæfɹɪd,1
durazol,dʊɹɹɐzɑːl,irazol,ɪɹæzɑːl,1
rinobact spray,ɹɪnəbækt spɹeɪ,lysobact p spray,laɪsəbækt piː spɹeɪ,1
tigecid,taɪgɪsɪd,tigecare,taɪgɪkɛɹ,1
rh com,ɑːɹɹeɪtʃ kɑːm,b com forte,biː kɑːm fɔːɹɾeɪ,1
aldopiem,ɔːldoʊpɪm,abdopen,æbdoʊpən,1
green viii inj,gɹiːn ɹoʊmən eɪt ɪndʒ,evergreen,ɛvɚgɹiːn,1
sitplixin 100,sɪtplɪksɪn wʌnhʌndɹɪd,aplixatin 100,ɐplɪksɐtɪn wʌnhʌndɹɪd,1
optinova,ɑːptɪnoʊvə,zoplinova,zɑːplɪnoʊvə,1
tazomed 25,tæzəmd twɛnti faɪv,tazomed 45,tæzəmd fɔːɹɾi faɪv,1
mupivita,mjuːpɪviːɾə,multivita,mʌltɪviːɾə,1
optinova,ɑːptɪnoʊvə,citinova,sɪtɪnoʊvə,1
amgathran 150,æmgæθɹən wʌnhʌndɹɪd fɪfti,amgathran 75,æmgæθɹən sɛvənti faɪv,1
curocent,kjʊɹɹoʊsənt,hydrocent,haɪdɹoʊsənt,1
efergen,ɛfɚdʒən,feragen plus tab,fɛɹədʒən plʌs tæb,1
afebrin tf,ɐfɛbɹɪn tiːɛf,fedrin,fɛdɹɪn,1
predixone,pɹiːdɪksoʊn,predzone,pɹɪdzoʊn,1
dsinfex,diːsɪnfɛks,xinflex,zɪnflɛks,1
osteomeg,ɑːstɪoʊməg,osteomax,ɑːstɪɑːmæks,1
aceamen 500,ɐsiːmɛn faɪvhʌndɹɪd,aceamen 125,ɐsiːmɛn wʌnhʌndɹɪd twɛnti faɪv,1
normglubin,nɔːɹmgluːbɪn,normix,nɔːɹmɪks,1
acode 200,ækoʊd tuːhʌndɹɪd,acode 150,ækoʊd wʌnhʌndɹɪd fɪfti,1
aldopiem,ɔːldoʊpɪm,dopinem,dɑːpaɪnəm,1
vilomet 500,vaɪlɑːmɪt faɪvhʌndɹɪd,vilomet,vaɪlɑːmɪt,1
lidocaine hydrochloride epinephrine as bitartrate,lɪdəkeɪn haɪdɹəklɔːɹaɪd ɛpɪnɛfɹiːn æz baɪtɑːɹtɹeɪt,alendronic acid as alendronate sodium trihydrate colecalciferol vitamin d3,ɐləndɹɑːnɪk æsɪd æz ɐlɛndɹəneɪt soʊdiəm tɹaɪhaɪdɹeɪt koʊlkɐlsɪfɚɹɑːl vaɪɾəmɪn diː θɹiː,1
rezotam,ɹɪzɑːɾæm,perzotam,pɜːzətæm,1
uricobles 40,jʊɹɹɪkɑːbəlz fɔːɹɾi,uricobles 80,jʊɹɹɪkɑːbəlz eɪɾi,1
ciprodin fc,sɪpɹədɪn ɛfsiː,ciprodan 500,sɪpɹɑːdən faɪvhʌndɹɪd,1
natrasol plus,nætɹɐsɑːl plʌs,rapcvit plus chewtab,ɹæpkvɪt plʌs tʃuːɾæb,1
lidocaine hydrochloride epinephrine as bitartrate,lɪdəkeɪn haɪdɹəklɔːɹaɪd ɛpɪnɛfɹiːn æz baɪtɑːɹtɹeɪt,ciprofloxacin as hydrochloride,sɪpɹəflɑːksɐsɪn æz haɪdɹəklɔːɹaɪd,1
ledrocid,lɛdɹəsɪd,drozid,dɹɑːzɪd,1
cafgard forte,kæfgɑːɹd fɔːɹɾeɪ,asgard,æzgɑːɹd,1
spevigo,spɛvɪgoʊ,nebigo,nɛbɪgoʊ,1
asmagen,ɐsmeɪdʒən,asmagone,ɐsmægən,1
dicloxiri,dɪkləksiəɹi,dialox,daɪəlɑːks,1
migco,mɪgkoʊ,diamicron,daɪəmaɪkɹɑːn,1
diprolene,dɪpɹoʊliːn,diprogenta,dɪpɹoʊdʒɛntə,1
euvichol plus,juːvɪkɑːl plʌs,muravit cee plus forte,mjʊɹɹɐvɪt siː plʌs fɔːɹɾeɪ,1
dota plus,doʊɾə plʌs,biozart plus 125,baɪoʊzɑːɹt plʌs wʌnhʌndɹɪd twɛnti faɪv,1
bonsenz,bɑːnsɛnts,omesenz,oʊmsɛnts,1
dolan fp,dɑːlæn ɛfpiː,dolac,dɑːlæk,1
eye glo moist,aɪ gloʊ mɔɪst,eye mo red eyes formula,aɪ moʊ ɹɛd aɪz fɔːɹmjʊlə,1
melanov mr 30,mɛlɐnɑːv mɪstɚ θɜːɾi,melnna,mɛlnə,1
clavorilz,klævɔːɹɪlz,levoriz,lɛvɔːɹɪz,1
indiurex,ɪndɪjuːɹɛks,virex,vaɪɚks,1
cutasept f colorless,kjuːɾeɪsəpt ɛf kʌlɚləs,varucefa f,vɑːɹɹuːsɛfə ɛf,1
pacitel 30,pæsɪɾəl θɜːɾi,dacihep 30,dæsɪhɛp θɜːɾi,1
omepors,oʊmpɚz,norepors,nɔːɹpɚz,1
rovecol,ɹoʊvkɑːl,nurocol,njʊɹɹəkɑːl,1
femostal 20,fɛmoʊstəl twɛnti,feme,fiːm,1
ciprophil,sɪpɹəfɪl,spirophil,spɪɹəfɪl,1
puroxan,pjʊɹɹɑːksən,furoxen,fjʊɹɹɑːksən,1
melifrin ds,mɛlɪfɹɪn diːɛs,medifer,mɛdɪfɚ,1
cartine,kɑːɹtiːn,cartin,kɑːɹtɪn,1
spevigo,spɛvɪgoʊ,spegic forte,spɛdʒɪk fɔːɹɾeɪ,1
cholsuvin,kɑːlsuːvɪn,acholine,ɐtʃɑːliːn,1
paulonorest,pɔːlənɔːɹst,reston,ɹɪstɑːn,1
basagine,bæsɐdʒɪn,butasine,bjuːɾɐsaɪn,1
lamtac 25,læmtæk twɛnti faɪv,torval h 160 25,tɔːɹvəl eɪtʃ wʌnhʌndɹɪd sɪksti twɛnti faɪv,1
ezomephil,ɛzoʊmfɪl,zomep,zoʊməp,1
insuljack r,ɪnsʌldʒæk ɑːɹ,insuljack 3070,ɪnsʌldʒæk θɹiː θaʊzənd sɛvənti,1
paranat,pæɹənæt,paranova,pæɹənoʊvə,1
actyl 100,æktaɪl wʌnhʌndɹɪd,cysaphteine 100,saɪsɐftiːn wʌnhʌndɹɪd,1
tecum 003,tɛkəm ziəɹoʊziəɹoʊ θɹiː,tecum 01,tɛkəm ziəɹoʊ wʌn,1
flosazin,flɑːsɐzɪn,invaflozin 10,ɪnvæfləzɪn tɛn,1
caxetil,kæksɪtɪl,caxol,kæksɑːl,1
satcapto 25,sætkæptoʊ twɛnti faɪv,captivo 25,kæptɪvoʊ twɛnti faɪv,1
gerdsol,dʒɜːdsɑːl,seredol,sɛɹɪdɑːl,1
ceftrash 1000,sɛftɹæʃ wʌn θaʊzənd,ceftrash 500,sɛftɹæʃ faɪvhʌndɹɪd,1
nivicof,nɪvɪkɑːf,nicocef,nɪkoʊsəf,1
combifen,kəmbaɪfən,combiflex lipid central,kəmbɪflɛks lɪpɪd sɛntɹəl,1
altacar,ɔːltɐkɑːɹ,healthcare paracetamol,hɛlθkɛɹ pæɹəsɛɾɐmɑːl,1
felizen,fɛlɪzən,felojen,fɛloʊdʒən,1
sharjvax,ʃɑːɹdʒvæks,saphrivax,sæfɹɪvæks,1
ciprophil,sɪpɹəfɪl,ciproprime,sɪpɹəpɹaɪm,1
macromycin,mækɹəmaɪsɪn,romycin,ɹɑːmɪsɪn,1
clophen,klɑːfən,clophil,klɑːfɪl,1
metsaphtin 50 850,mɛtsɐftɪn fɪfti eɪthʌndɹɪd fɪfti,amiksan 50,æmɪksən fɪfti,1
aceamen 500,ɐsiːmɛn faɪvhʌndɹɪd,aceamen 250,ɐsiːmɛn tuːhʌndɹɪd fɪfti,1
lidocaine hydrochloride epinephrine as bitartrate,lɪdəkeɪn haɪdɹəklɔːɹaɪd ɛpɪnɛfɹiːn æz baɪtɑːɹtɹeɪt,amoxicillin as trihydrate,æməksɪsɪlɪn æz tɹaɪhaɪdɹeɪt,1
norphed,nɔːɹft,noriphen,nɔːɹɪfən,1
medivasc,mɛdɪvæsk,cardivasc,kɑːɹdɪvæsk,1
ewel zee plus,juːəl ziː plʌs,jewel zee plus,dʒuːəl ziː plʌs,1
oticom,ɑːɾɪkɑːm,tricomb,tɹaɪkoʊm,1
metsaphtin 50 850,mɛtsɐftɪn fɪfti eɪthʌndɹɪd fɪfti,metsaphtin 50 1000,mɛtsɐftɪn fɪfti wʌn θaʊzənd,1
euvichol plus,juːvɪkɑːl plʌs,polynerv 250 plus zinc 40,pɑːlɪnɜːv tuːhʌndɹɪd fɪfti plʌs zɪŋk fɔːɹɾi,1
ifos,aɪfoʊz,ifosfaxil,aɪfəsfæksɪl,1
dsinfex,diːsɪnfɛks,sinudex,sɪnuːdɛks,1
teno em,tiːnoʊ ɛm,tenemax,tɛnəmæks,1
cosimetz,kɑːsaɪməts,simet,sɪmɪt,1
gascopan,gæskəpæn,iscopan,ɪskəpæn,1
visiocare,vɪsɪɑːkɛɹ,visine,vɪsaɪn,1
pantosaph 20,pæntəsæf twɛnti,rixan 20,ɹɪksən twɛnti,1
euvichol plus,juːvɪkɑːl plʌs,ceelin plus chewables,siːlɪn plʌs tʃuːəbəlz,1
robitussin dm,ɹɑːbaɪtʌsɪn diːɛm,robitussin,ɹɑːbaɪtʌsɪn,1
xeomin,zɪɑːmɪn,xetocin,zɛɾəsɪn,1
rosubest 20,ɹɑːsuːbɪst twɛnti,rosuu,ɹɑːsuː,1
multizine,mʌltɪziːn,multizin,mʌltizɪn,1
zevelatab,zɛvɪlæɾæb,sevelaget,sɛvɪlægɪt,1
izon,aɪzɑːn,trizon,tɹaɪzɑːn,1
ledrocid,lɛdɹəsɪd,accord zoledronic 4,ɐkɔːɹd zoʊldɹɑːnɪk fɔːɹ,1
teno em,tiːnoʊ ɛm,tenofo b,tɛnoʊfoʊ biː,1
easyef,iːzɪɛf,isef,aɪsəf,1
xanginart,zændʒɪnɑːɹt,xanil,zænɪl,1
colchicine,kɑːltʃɪsiːn,orlicin,ɔːɹlɪsɪn,1
veeta,viːɾə,vometa,voʊmtə,1
glixa,glɪksə,agliza,ɐglɪzə,1
gaviscon double action,gævɪskən dʌbəl ækʃən,gaviscon,gævɪskən,1
ximvex,zɪmvɛks,cimex,saɪmɛks,1
retapenem,ɹɪteɪpnəm,seapenem,siːpɛnəm,1
elmox cv 3125,ɛlmɑːks siːviː θɹiː θaʊzənd wʌnhʌndɹɪd twɛnti faɪv,elmox cv 375,ɛlmɑːks siːviː θɹiːhʌndɹɪd sɛvənti faɪv,1
vizef,vaɪzəf,vinsef,vɪnsɛf,1
nicardilex,nɪkɑːɹdaɪlɛks,nicardime,nɪkɑːɹdaɪm,1
cutasept f colorless,kjuːɾeɪsəpt ɛf kʌlɚləs,aperus f,eɪpɚɹəs ɛf,1
sanzepir 50,sænzɪpɪɹ fɪfti,sitanova plus 50 500,sɪtɐnoʊvə plʌs fɪfti faɪvhʌndɹɪd,1
rh com,ɑːɹɹeɪtʃ kɑːm,com b forte,kɑːm biː fɔːɹɾeɪ,1
alkacit,ælkɐsɪt,alkacel,ælkeɪsəl,1
ventcare,vɛntkɛɹ,fencare,fɛŋkɛɹ,1
folicard,fɑːlɪkɑːɹd,folicure,fɑːlɪkjʊɹ,1
glutarite,gluːɾɑːɹɹaɪt,losarite,lɑːsɑːɹɹaɪt,1
katinko ginger amp patchouli oil scent,kætɪŋkoʊ dʒɪndʒɚɹ æmp pætʃuːli ɔɪl sɛnt,katinko,kætɪŋkoʊ,1
xygyn,zaɪdʒɪn,gynogen hp,gaɪnədʒən eɪtʃpiː,1
insuljack r,ɪnsʌldʒæk ɑːɹ,insulet r,ɪnsəlɪt ɑːɹ,1
aritero 5,æɹɪtɛɹoʊ faɪv,amosartan q 5 100 20mg,æməsɑːɹtən kjuː faɪv wʌnhʌndɹɪd twɛnti ɛmdʒiː,1
trixophin w,tɹɪksəfɪn dʌbəljuː,rixophil,ɹɪksəfɪl,1
alergiquit,ɐlɜːdʒɪkwɪt,alerid,ɐlɛɹɪd,1
ivapro 5,ɪvæpɹoʊ faɪv,ivapro 75,ɪvæpɹoʊ sɛvənti faɪv,1
picinaf,pɪsɪnæf,epicin,ɛpɪsɪn,1
lipibrate,lɪpɪbɹeɪt,macfibrate 145,mækfɪbɹeɪt wʌnhʌndɹɪd fɔːɹɾi faɪv,1
diprolene,dɪpɹoʊliːn,dipronex,dɪpɹoʊnɛks,1
laberfen,læbɚfən,alfaren,ælfɚɹən,1
